Frame,x,y
1,0.0,0.18
2,0.006,0.176
3,0.015,0.172
4,0.025,0.17
5,0.036,0.169
6,0.048,0.166
7,0.061,0.162
8,0.075,0.158
9,0.089,0.155
10,0.105,0.153
11,0.125,0.151
12,0.152,0.148
13,0.175,0.146
14,0.177,0.147
15,0.173,0.148
16,0.2,0.142
17,0.255,0.131
18,0.298,0.125
19,0.321,0.126
20,0.34,0.127
21,0.365,0.126
22,0.39,0.123
23,0.415,0.119
24,0.44,0.115
25,0.467,0.11
26,0.495,0.103
27,0.525,0.096
28,0.555,0.089
29,0.585,0.082
30,0.615,0.074
31,0.642,0.065
32,0.669,0.055
33,0.695,0.048
34,0.72,0.041
35,0.745,0.034
36,0.769,0.027
37,0.794,0.017
38,0.816,0.008
39,0.836,0.003
40,0.853,0.0
41,0.867,0.0
42,0.874,0.002
43,0.873,0.013
44,0.863,0.031
45,0.847,0.051
46,0.824,0.078
47,0.792,0.115
48,0.753,0.162
49,0.706,0.213
50,0.654,0.267
51,0.599,0.326
52,0.543,0.39
53,0.488,0.456
54,0.434,0.521
55,0.385,0.587
56,0.34,0.653
57,0.3,0.716
58,0.264,0.775
59,0.233,0.829
60,0.209,0.88
61,0.192,0.921
62,0.183,0.951
63,0.181,0.972
64,0.187,0.987
65,0.198,0.996
66,0.214,1.0
67,0.235,1.0
68,0.26,0.995
69,0.291,0.986
70,0.327,0.97
71,0.368,0.951
72,0.412,0.929
73,0.458,0.907
74,0.505,0.885
75,0.553,0.865
76,0.601,0.849
77,0.649,0.833
78,0.697,0.815
79,0.745,0.796
80,0.792,0.781
81,0.834,0.769
82,0.871,0.758
83,0.903,0.749
84,0.93,0.742
85,0.954,0.739
86,0.973,0.737
87,0.986,0.737
88,0.995,0.739
89,0.999,0.744
90,1.0,0.752
91,0.997,0.761
92,0.99,0.771
93,0.98,0.781
94,0.969,0.792
95,0.96,0.803
96,0.951,0.814
97,0.942,0.824
98,0.932,0.836
99,0.921,0.849
100,0.912,0.858
