Frame,x,y
1,0.468,0.784
2,0.468,0.786
3,0.464,0.781
4,0.462,0.777
5,0.460,0.774
6,0.460,0.774
7,0.460,0.760
8,0.460,0.746
9,0.460,0.739
10,0.460,0.735
11,0.463,0.714
12,0.469,0.675
13,0.473,0.655
14,0.474,0.645
15,0.475,0.630
16,0.468,0.569
17,0.464,0.538
18,0.462,0.522
19,0.460,0.515
20,0.467,0.482
21,0.471,0.462
22,0.473,0.451
23,0.475,0.445
24,0.455,0.398
25,0.432,0.347
26,0.420,0.320
27,0.414,0.306
28,0.411,0.286
29,0.410,0.256
30,0.410,0.240
31,0.410,0.231
32,0.411,0.221
33,0.418,0.168
34,0.422,0.142
35,0.424,0.129
36,0.422,0.096
37,0.420,0.077
38,0.420,0.066
39,0.420,0.061
40,0.424,0.055
41,0.427,0.050
42,0.430,0.041
43,0.433,0.030
44,0.434,0.024
45,0.440,0.022
46,0.454,0.022
47,0.461,0.022
48,0.464,0.022
49,0.478,0.024
50,0.598,0.042
51,0.660,0.052
52,0.691,0.057
53,0.708,0.060
54,0.762,0.043
55,0.801,0.031
56,0.821,0.024
57,0.831,0.021
58,0.865,0.039
59,0.904,0.062
60,0.924,0.073
61,0.944,0.095
62,0.969,0.131
63,0.986,0.158
64,1.006,0.200
65,1.017,0.221
66,1.022,0.232
67,1.026,0.238
68,1.022,0.311
69,1.020,0.349
70,1.018,0.370
71,1.004,0.410
72,0.993,0.439
73,0.987,0.454
74,0.985,0.461
75,0.969,0.475
76,0.948,0.491
77,0.937,0.498
78,0.931,0.503
79,0.887,0.511
80,0.762,0.533
81,0.696,0.543
82,0.662,0.548
83,0.645,0.552
84,0.611,0.552
85,0.594,0.552
86,0.585,0.552
87,0.581,0.552
88,0.567,0.546
89,0.555,0.541
90,0.550,0.539
91,0.547,0.537
92,0.544,0.534
93,0.541,0.531
94,0.539,0.530
95,0.537,0.531
96,0.536,0.532
97,0.536,0.534
98,0.536,0.534
99,0.535,0.533
100,0.526,0.524
