Frame,x,y
1,0.628,0.906
2,0.628,0.906
3,0.628,0.906
4,0.628,0.902
5,0.626,0.883
6,0.626,0.872
7,0.626,0.864
8,0.626,0.860
9,0.626,0.857
10,0.624,0.798
11,0.622,0.717
12,0.620,0.671
13,0.619,0.645
14,0.618,0.627
15,0.618,0.614
16,0.627,0.575
17,0.633,0.550
18,0.636,0.533
19,0.638,0.523
20,0.628,0.427
21,0.619,0.344
22,0.613,0.290
23,0.605,0.246
24,0.599,0.217
25,0.596,0.199
26,0.594,0.187
27,0.599,0.176
28,0.603,0.167
29,0.606,0.162
30,0.608,0.159
31,0.608,0.157
32,0.608,0.153
33,0.610,0.145
34,0.611,0.140
35,0.612,0.136
36,0.612,0.134
37,0.612,0.132
38,0.614,0.128
39,0.617,0.123
40,0.618,0.120
41,0.618,0.119
42,0.618,0.118
43,0.619,0.118
44,0.628,0.121
45,0.633,0.123
46,0.637,0.124
47,0.638,0.124
48,0.639,0.124
49,0.653,0.123
50,0.672,0.122
51,0.684,0.120
52,0.691,0.120
53,0.695,0.120
54,0.698,0.120
55,0.730,0.119
56,0.752,0.117
57,0.766,0.116
58,0.773,0.116
59,0.778,0.116
60,0.818,0.169
61,0.902,0.289
62,0.945,0.350
63,0.974,0.392
64,0.993,0.418
65,1.004,0.434
66,0.995,0.466
67,0.985,0.492
68,0.978,0.509
69,0.975,0.517
70,0.973,0.523
71,0.964,0.533
72,0.937,0.557
73,0.921,0.570
74,0.910,0.579
75,0.904,0.584
76,0.901,0.587
77,0.882,0.594
78,0.860,0.601
79,0.847,0.606
80,0.839,0.609
81,0.835,0.611
82,0.828,0.611
83,0.795,0.606
84,0.773,0.602
85,0.759,0.600
86,0.750,0.598
87,0.746,0.598
88,0.724,0.603
89,0.691,0.611
90,0.674,0.615
91,0.663,0.617
92,0.656,0.619
93,0.652,0.620
94,0.631,0.610
95,0.616,0.604
96,0.607,0.599
97,0.601,0.597
98,0.598,0.595
99,0.593,0.595
100,0.586,0.596
