Frame,x,y
1,0.542,0.910
2,0.541,0.910
3,0.540,0.910
4,0.540,0.909
5,0.542,0.904
6,0.542,0.903
7,0.542,0.892
8,0.542,0.876
9,0.542,0.867
10,0.545,0.848
11,0.547,0.833
12,0.548,0.819
13,0.550,0.787
14,0.551,0.767
15,0.553,0.741
16,0.556,0.702
17,0.558,0.682
18,0.559,0.647
19,0.561,0.614
20,0.562,0.593
21,0.561,0.552
22,0.559,0.524
23,0.558,0.496
24,0.558,0.451
25,0.558,0.427
26,0.557,0.397
27,0.556,0.366
28,0.556,0.348
29,0.557,0.324
30,0.559,0.305
31,0.560,0.291
32,0.562,0.275
33,0.562,0.265
34,0.562,0.255
35,0.562,0.246
36,0.562,0.241
37,0.562,0.238
38,0.562,0.235
39,0.562,0.234
40,0.567,0.231
41,0.569,0.229
42,0.574,0.227
43,0.586,0.222
44,0.592,0.219
45,0.606,0.211
46,0.623,0.201
47,0.633,0.195
48,0.656,0.187
49,0.674,0.182
50,0.689,0.177
51,0.717,0.175
52,0.733,0.173
53,0.753,0.173
54,0.780,0.174
55,0.794,0.176
56,0.818,0.180
57,0.839,0.185
58,0.853,0.188
59,0.872,0.199
60,0.885,0.206
61,0.896,0.216
62,0.908,0.235
63,0.914,0.245
64,0.919,0.263
65,0.923,0.283
66,0.926,0.295
67,0.925,0.317
68,0.924,0.334
69,0.923,0.348
70,0.915,0.370
71,0.910,0.384
72,0.900,0.401
73,0.883,0.423
74,0.874,0.435
75,0.852,0.456
76,0.831,0.475
77,0.816,0.487
78,0.788,0.506
79,0.770,0.519
80,0.751,0.531
81,0.724,0.544
82,0.711,0.550
83,0.690,0.557
84,0.669,0.563
85,0.657,0.568
86,0.637,0.572
87,0.622,0.575
88,0.611,0.576
89,0.598,0.576
90,0.591,0.576
91,0.584,0.576
92,0.577,0.576
93,0.573,0.576
94,0.570,0.575
95,0.567,0.574
96,0.566,0.574
97,0.564,0.574
98,0.563,0.574
99,0.562,0.574
100,0.562,0.574
