Frame,x,y
1,0.538,0.854
2,0.538,0.852
3,0.538,0.852
4,0.538,0.852
5,0.538,0.852
6,0.541,0.832
7,0.543,0.815
8,0.545,0.807
9,0.546,0.802
10,0.548,0.785
11,0.551,0.762
12,0.553,0.749
13,0.554,0.743
14,0.554,0.734
15,0.554,0.710
16,0.554,0.697
17,0.554,0.690
18,0.554,0.686
19,0.552,0.644
20,0.550,0.621
21,0.550,0.609
22,0.550,0.602
23,0.555,0.575
24,0.560,0.551
25,0.563,0.539
26,0.562,0.488
27,0.559,0.420
28,0.555,0.369
29,0.549,0.320
30,0.546,0.294
31,0.544,0.272
32,0.542,0.223
33,0.542,0.197
34,0.542,0.184
35,0.542,0.176
36,0.546,0.146
37,0.548,0.129
38,0.550,0.120
39,0.550,0.115
40,0.563,0.104
41,0.576,0.093
42,0.582,0.088
43,0.585,0.085
44,0.599,0.082
45,0.623,0.077
46,0.636,0.075
47,0.643,0.074
48,0.651,0.074
49,0.677,0.076
50,0.690,0.078
51,0.698,0.078
52,0.702,0.078
53,0.727,0.092
54,0.743,0.100
55,0.752,0.105
56,0.757,0.107
57,0.771,0.119
58,0.787,0.130
59,0.795,0.136
60,0.799,0.139
61,0.820,0.163
62,0.864,0.214
63,0.887,0.240
64,0.899,0.253
65,0.907,0.269
66,0.912,0.336
67,0.916,0.372
68,0.918,0.389
69,0.918,0.399
70,0.911,0.428
71,0.907,0.446
72,0.905,0.456
73,0.903,0.461
74,0.881,0.478
75,0.857,0.497
76,0.844,0.508
77,0.838,0.514
78,0.823,0.521
79,0.793,0.532
80,0.778,0.539
81,0.769,0.542
82,0.763,0.543
83,0.727,0.538
84,0.711,0.536
85,0.701,0.534
86,0.697,0.534
87,0.666,0.529
88,0.645,0.527
89,0.633,0.525
90,0.628,0.524
91,0.616,0.516
92,0.604,0.506
93,0.598,0.500
94,0.595,0.497
95,0.588,0.497
96,0.572,0.498
97,0.563,0.500
98,0.558,0.500
99,0.556,0.500
100,0.550,0.500
