Frame,x,y
1,0.566,0.914
2,0.564,0.909
3,0.564,0.907
4,0.564,0.905
5,0.564,0.904
6,0.563,0.899
7,0.558,0.880
8,0.555,0.870
9,0.553,0.864
10,0.552,0.861
11,0.554,0.835
12,0.556,0.786
13,0.558,0.759
14,0.560,0.746
15,0.560,0.738
16,0.559,0.697
17,0.558,0.654
18,0.558,0.630
19,0.558,0.617
20,0.558,0.611
21,0.553,0.567
22,0.551,0.537
23,0.549,0.520
24,0.548,0.510
25,0.547,0.496
26,0.542,0.425
27,0.540,0.388
28,0.539,0.367
29,0.538,0.355
30,0.540,0.339
31,0.544,0.311
32,0.546,0.296
33,0.548,0.289
34,0.548,0.285
35,0.545,0.266
36,0.541,0.242
37,0.540,0.228
38,0.538,0.220
39,0.538,0.217
40,0.544,0.191
41,0.548,0.170
42,0.551,0.158
43,0.558,0.146
44,0.579,0.121
45,0.589,0.108
46,0.594,0.100
47,0.598,0.096
48,0.619,0.093
49,0.651,0.092
50,0.671,0.093
51,0.699,0.099
52,0.714,0.103
53,0.723,0.105
54,0.741,0.110
55,0.765,0.117
56,0.779,0.120
57,0.786,0.122
58,0.789,0.124
59,0.814,0.143
60,0.836,0.161
61,0.849,0.172
62,0.857,0.179
63,0.860,0.182
64,0.885,0.267
65,0.901,0.320
66,0.910,0.351
67,0.915,0.369
68,0.916,0.384
69,0.906,0.414
70,0.901,0.429
71,0.899,0.437
72,0.897,0.442
73,0.884,0.455
74,0.859,0.477
75,0.846,0.490
76,0.839,0.497
77,0.835,0.501
78,0.813,0.510
79,0.789,0.519
80,0.776,0.525
81,0.768,0.528
82,0.764,0.530
83,0.742,0.527
84,0.725,0.525
85,0.715,0.524
86,0.701,0.523
87,0.672,0.520
88,0.657,0.518
89,0.650,0.516
90,0.646,0.516
91,0.635,0.513
92,0.621,0.509
93,0.613,0.506
94,0.610,0.504
95,0.608,0.504
96,0.602,0.501
97,0.595,0.499
98,0.591,0.497
99,0.590,0.496
100,0.588,0.496
