Frame,x,y
1,0.568,0.864
2,0.570,0.867
3,0.575,0.872
4,0.580,0.875
5,0.585,0.877
6,0.598,0.882
7,0.604,0.884
8,0.621,0.886
9,0.637,0.889
10,0.651,0.890
11,0.681,0.888
12,0.696,0.888
13,0.726,0.881
14,0.754,0.874
15,0.776,0.865
16,0.813,0.843
17,0.832,0.831
18,0.858,0.803
19,0.881,0.776
20,0.896,0.754
21,0.915,0.712
22,0.925,0.690
23,0.936,0.643
24,0.945,0.597
25,0.949,0.561
26,0.944,0.504
27,0.943,0.473
28,0.932,0.429
29,0.921,0.389
30,0.911,0.361
31,0.884,0.321
32,0.869,0.299
33,0.840,0.272
34,0.813,0.247
35,0.791,0.231
36,0.750,0.212
37,0.727,0.201
38,0.695,0.189
39,0.664,0.177
40,0.642,0.171
41,0.604,0.163
42,0.583,0.158
43,0.554,0.155
44,0.527,0.153
45,0.508,0.153
46,0.477,0.159
47,0.461,0.163
48,0.439,0.171
49,0.417,0.180
50,0.401,0.186
51,0.377,0.200
52,0.364,0.208
53,0.347,0.222
54,0.330,0.238
55,0.320,0.249
56,0.302,0.271
57,0.292,0.284
58,0.279,0.306
59,0.267,0.332
60,0.259,0.350
61,0.251,0.385
62,0.247,0.405
63,0.244,0.433
64,0.241,0.462
65,0.241,0.482
66,0.247,0.525
67,0.251,0.551
68,0.259,0.583
69,0.270,0.616
70,0.277,0.637
71,0.291,0.675
72,0.299,0.698
73,0.314,0.728
74,0.331,0.760
75,0.342,0.780
76,0.372,0.810
77,0.391,0.829
78,0.420,0.844
79,0.454,0.856
80,0.476,0.862
81,0.519,0.857
82,0.545,0.853
83,0.574,0.838
84,0.605,0.816
85,0.623,0.802
86,0.642,0.758
87,0.654,0.730
88,0.661,0.696
89,0.667,0.658
90,0.670,0.635
91,0.670,0.589
92,0.670,0.561
93,0.668,0.527
94,0.664,0.488
95,0.662,0.466
96,0.656,0.432
97,0.652,0.411
98,0.647,0.396
99,0.641,0.384
100,0.638,0.378
