Frame,x,y
1,0.616,0.890
2,0.621,0.890
3,0.622,0.890
4,0.630,0.890
5,0.644,0.890
6,0.659,0.890
7,0.691,0.890
8,0.714,0.891
9,0.735,0.892
10,0.760,0.892
11,0.773,0.892
12,0.793,0.889
13,0.820,0.886
14,0.842,0.879
15,0.875,0.860
16,0.897,0.842
17,0.913,0.827
18,0.927,0.810
19,0.934,0.799
20,0.943,0.776
21,0.953,0.754
22,0.961,0.732
23,0.971,0.695
24,0.979,0.666
25,0.984,0.643
26,0.984,0.621
27,0.983,0.607
28,0.982,0.585
29,0.977,0.555
30,0.974,0.524
31,0.966,0.481
32,0.958,0.445
33,0.955,0.426
34,0.948,0.398
35,0.940,0.373
36,0.932,0.347
37,0.917,0.321
38,0.901,0.292
39,0.881,0.260
40,0.859,0.229
41,0.848,0.214
42,0.829,0.193
43,0.807,0.177
44,0.782,0.164
45,0.751,0.150
46,0.711,0.134
47,0.669,0.122
48,0.631,0.116
49,0.612,0.113
50,0.581,0.110
51,0.549,0.106
52,0.518,0.106
53,0.487,0.106
54,0.451,0.109
55,0.419,0.114
56,0.388,0.123
57,0.375,0.128
58,0.348,0.145
59,0.323,0.168
60,0.300,0.189
61,0.279,0.211
62,0.252,0.252
63,0.231,0.287
64,0.220,0.309
65,0.206,0.338
66,0.191,0.373
67,0.176,0.420
68,0.164,0.461
69,0.152,0.501
70,0.140,0.569
71,0.136,0.623
72,0.134,0.657
73,0.135,0.694
74,0.144,0.744
75,0.154,0.796
76,0.168,0.839
77,0.185,0.877
78,0.221,0.907
79,0.249,0.927
80,0.358,0.926
81,0.487,0.918
82,0.547,0.909
83,0.579,0.892
84,0.596,0.865
85,0.604,0.840
86,0.613,0.822
87,0.614,0.788
88,0.619,0.753
89,0.625,0.725
90,0.633,0.696
91,0.639,0.656
92,0.642,0.618
93,0.641,0.588
94,0.640,0.559
95,0.632,0.524
96,0.626,0.495
97,0.622,0.473
98,0.618,0.452
99,0.611,0.435
100,0.606,0.424
