Frame,x,y
1,0.608,0.868
2,0.608,0.867
3,0.608,0.866
4,0.608,0.866
5,0.611,0.869
6,0.614,0.872
7,0.616,0.874
8,0.622,0.880
9,0.631,0.889
10,0.634,0.892
11,0.645,0.897
12,0.660,0.902
13,0.668,0.905
14,0.684,0.907
15,0.712,0.910
16,0.728,0.911
17,0.747,0.910
18,0.781,0.902
19,0.802,0.897
20,0.820,0.891
21,0.849,0.872
22,0.871,0.858
23,0.886,0.848
24,0.914,0.821
25,0.936,0.801
26,0.950,0.788
27,0.969,0.757
28,0.987,0.727
29,0.997,0.711
30,1.005,0.670
31,1.013,0.622
32,1.016,0.597
33,1.014,0.555
34,1.006,0.502
35,1.002,0.475
36,0.990,0.441
37,0.967,0.398
38,0.954,0.373
39,0.936,0.350
40,0.902,0.320
41,0.880,0.302
42,0.860,0.288
43,0.815,0.274
44,0.783,0.264
45,0.760,0.258
46,0.724,0.268
47,0.696,0.276
48,0.679,0.281
49,0.636,0.287
50,0.595,0.293
51,0.573,0.295
52,0.544,0.319
53,0.516,0.348
54,0.501,0.365
55,0.485,0.397
56,0.470,0.440
57,0.462,0.462
58,0.451,0.491
59,0.436,0.530
60,0.427,0.552
61,0.419,0.577
62,0.409,0.615
63,0.402,0.640
64,0.399,0.661
65,0.402,0.700
66,0.405,0.727
67,0.408,0.746
68,0.425,0.778
69,0.438,0.803
70,0.447,0.818
71,0.473,0.839
72,0.498,0.857
73,0.514,0.867
74,0.538,0.874
75,0.564,0.878
76,0.578,0.881
77,0.596,0.874
78,0.618,0.860
79,0.628,0.852
80,0.638,0.833
81,0.647,0.797
82,0.651,0.777
83,0.654,0.753
84,0.654,0.717
85,0.654,0.693
86,0.654,0.673
87,0.651,0.640
88,0.649,0.617
89,0.648,0.600
90,0.643,0.568
91,0.639,0.543
92,0.636,0.528
93,0.633,0.506
94,0.629,0.487
95,0.627,0.475
96,0.626,0.465
97,0.626,0.455
98,0.626,0.450
99,0.626,0.447
100,0.626,0.446
