Frame,x,y
1,0.668,0.860
2,0.671,0.864
3,0.673,0.867
4,0.674,0.870
5,0.682,0.876
6,0.688,0.880
7,0.693,0.882
8,0.710,0.886
9,0.721,0.890
10,0.732,0.892
11,0.760,0.890
12,0.779,0.889
13,0.795,0.886
14,0.825,0.874
15,0.844,0.865
16,0.865,0.855
17,0.904,0.830
18,0.928,0.815
19,0.950,0.799
20,0.981,0.773
21,1.000,0.757
22,1.017,0.733
23,1.038,0.686
24,1.051,0.658
25,1.060,0.622
26,1.065,0.565
27,1.068,0.533
28,1.066,0.492
29,1.055,0.432
30,1.049,0.400
31,1.034,0.360
32,1.009,0.308
33,0.996,0.281
34,0.971,0.250
35,0.934,0.214
36,0.915,0.195
37,0.881,0.174
38,0.837,0.151
39,0.814,0.139
40,0.776,0.129
41,0.732,0.122
42,0.709,0.118
43,0.672,0.120
44,0.631,0.127
45,0.609,0.131
46,0.578,0.143
47,0.547,0.158
48,0.529,0.166
49,0.501,0.186
50,0.472,0.209
51,0.456,0.223
52,0.436,0.254
53,0.417,0.285
54,0.406,0.304
55,0.376,0.332
56,0.346,0.357
57,0.329,0.372
58,0.311,0.410
59,0.297,0.444
60,0.289,0.464
61,0.289,0.506
62,0.290,0.541
63,0.290,0.563
64,0.299,0.598
65,0.307,0.626
66,0.312,0.644
67,0.324,0.675
68,0.333,0.698
69,0.341,0.715
70,0.361,0.746
71,0.376,0.769
72,0.388,0.786
73,0.415,0.809
74,0.434,0.825
75,0.450,0.837
76,0.481,0.842
77,0.502,0.846
78,0.518,0.845
79,0.546,0.829
80,0.563,0.818
81,0.578,0.804
82,0.599,0.766
83,0.612,0.742
84,0.622,0.718
85,0.632,0.680
86,0.638,0.657
87,0.642,0.631
88,0.642,0.590
89,0.642,0.565
90,0.640,0.538
91,0.633,0.497
92,0.630,0.474
93,0.625,0.450
94,0.617,0.419
95,0.612,0.401
96,0.607,0.386
97,0.600,0.371
98,0.596,0.362
99,0.591,0.356
100,0.586,0.352
