Frame,x,y
1,0.034,0.098
2,0.032,0.098
3,0.032,0.098
4,0.032,0.098
5,0.032,0.098
6,0.042,0.094
7,0.048,0.092
8,0.050,0.092
9,0.054,0.091
10,0.075,0.077
11,0.087,0.070
12,0.092,0.066
13,0.097,0.063
14,0.122,0.057
15,0.148,0.054
16,0.164,0.053
17,0.188,0.056
18,0.203,0.060
19,0.220,0.072
20,0.231,0.090
21,0.236,0.103
22,0.236,0.125
23,0.236,0.140
24,0.236,0.163
25,0.236,0.178
26,0.238,0.201
27,0.239,0.217
28,0.240,0.242
29,0.242,0.258
30,0.253,0.282
31,0.266,0.304
32,0.282,0.320
33,0.309,0.343
34,0.329,0.355
35,0.350,0.364
36,0.369,0.369
37,0.394,0.373
38,0.412,0.371
39,0.436,0.362
40,0.458,0.354
41,0.473,0.348
42,0.488,0.342
43,0.502,0.335
44,0.516,0.325
45,0.529,0.326
46,0.549,0.359
47,0.568,0.409
48,0.577,0.434
49,0.593,0.458
50,0.613,0.482
51,0.623,0.494
52,0.628,0.500
53,0.642,0.502
54,0.657,0.502
55,0.665,0.502
56,0.669,0.502
57,0.687,0.499
58,0.708,0.494
59,0.719,0.491
60,0.724,0.490
61,0.738,0.488
62,0.752,0.485
63,0.759,0.483
64,0.761,0.482
65,0.770,0.501
66,0.778,0.521
67,0.781,0.531
68,0.783,0.537
69,0.783,0.561
70,0.782,0.583
71,0.782,0.594
72,0.782,0.599
73,0.788,0.625
74,0.793,0.646
75,0.795,0.656
76,0.796,0.661
77,0.811,0.676
78,0.824,0.686
79,0.829,0.691
80,0.832,0.694
81,0.887,0.694
82,0.928,0.694
83,0.949,0.694
84,0.975,0.716
85,0.992,0.730
86,1.001,0.737
87,1.005,0.741
88,1.020,0.781
89,1.029,0.806
90,1.034,0.817
91,1.036,0.823
92,1.067,0.861
93,1.085,0.883
94,1.094,0.893
95,1.098,0.898
96,1.131,0.908
97,1.148,0.914
98,1.156,0.916
99,1.160,0.918
100,1.192,0.914
