Frame,x,y
1,0.076,0.178
2,0.072,0.178
3,0.062,0.176
4,0.056,0.174
5,0.054,0.174
6,0.075,0.164
7,0.180,0.120
8,0.230,0.099
9,0.255,0.088
10,0.268,0.092
11,0.276,0.110
12,0.281,0.119
13,0.279,0.142
14,0.274,0.176
15,0.271,0.192
16,0.270,0.200
17,0.264,0.227
18,0.256,0.252
19,0.253,0.265
20,0.258,0.294
21,0.263,0.315
22,0.266,0.325
23,0.268,0.330
24,0.292,0.339
25,0.308,0.346
26,0.314,0.348
27,0.355,0.346
28,0.375,0.344
29,0.385,0.344
30,0.397,0.342
31,0.437,0.331
32,0.457,0.325
33,0.466,0.321
34,0.481,0.319
35,0.510,0.317
36,0.523,0.316
37,0.530,0.316
38,0.543,0.330
39,0.559,0.351
40,0.567,0.361
41,0.577,0.396
42,0.586,0.433
43,0.589,0.452
44,0.591,0.460
45,0.601,0.487
46,0.609,0.507
47,0.612,0.517
48,0.632,0.525
49,0.645,0.530
50,0.652,0.532
51,0.655,0.534
52,0.683,0.526
53,0.697,0.522
54,0.706,0.518
55,0.730,0.507
56,0.741,0.501
57,0.747,0.497
58,0.756,0.495
59,0.773,0.491
60,0.782,0.489
61,0.792,0.496
62,0.804,0.513
63,0.810,0.520
64,0.813,0.523
65,0.814,0.538
66,0.814,0.556
67,0.814,0.564
68,0.814,0.569
69,0.811,0.591
70,0.808,0.609
71,0.806,0.617
72,0.806,0.621
73,0.802,0.649
74,0.800,0.667
75,0.800,0.676
76,0.810,0.708
77,0.816,0.725
78,0.818,0.732
79,0.825,0.738
80,0.857,0.754
81,0.872,0.761
82,0.886,0.763
83,0.913,0.759
84,0.927,0.758
85,0.934,0.758
86,0.951,0.758
87,0.979,0.758
88,0.992,0.758
89,1.016,0.767
90,1.043,0.779
91,1.055,0.785
92,1.061,0.787
93,1.075,0.817
94,1.086,0.843
95,1.091,0.856
96,1.099,0.876
97,1.104,0.891
98,1.106,0.898
99,1.106,0.900
100,1.128,0.910
