Frame,x,y
1,0.496,0.080
2,0.501,0.073
3,0.506,0.066
4,0.510,0.059
5,0.512,0.056
6,0.515,0.052
7,0.516,0.049
8,0.518,0.047
9,0.519,0.045
10,0.520,0.044
11,0.521,0.043
12,0.522,0.042
13,0.522,0.048
14,0.522,0.057
15,0.522,0.067
16,0.522,0.072
17,0.522,0.077
18,0.522,0.082
19,0.522,0.084
20,0.522,0.086
21,0.522,0.088
22,0.522,0.090
23,0.522,0.091
24,0.524,0.100
25,0.528,0.123
26,0.532,0.146
27,0.535,0.162
28,0.537,0.173
29,0.539,0.185
30,0.541,0.192
31,0.542,0.198
32,0.544,0.203
33,0.545,0.207
34,0.545,0.209
35,0.546,0.217
36,0.554,0.305
37,0.562,0.392
38,0.569,0.470
39,0.572,0.514
40,0.576,0.558
41,0.579,0.593
42,0.581,0.615
43,0.583,0.637
44,0.584,0.652
45,0.585,0.664
46,0.586,0.675
47,0.585,0.686
48,0.584,0.698
49,0.582,0.709
50,0.581,0.715
51,0.581,0.721
52,0.580,0.726
53,0.579,0.729
54,0.579,0.732
55,0.578,0.734
56,0.578,0.736
57,0.578,0.737
58,0.553,0.694
59,0.496,0.593
60,0.439,0.491
61,0.399,0.419
62,0.370,0.369
63,0.341,0.318
64,0.323,0.286
65,0.309,0.261
66,0.295,0.235
67,0.287,0.222
68,0.280,0.209
69,0.273,0.196
70,0.262,0.181
71,0.252,0.165
72,0.243,0.152
73,0.238,0.144
74,0.233,0.136
75,0.229,0.130
76,0.226,0.127
77,0.223,0.123
78,0.221,0.121
79,0.220,0.119
80,0.218,0.116
81,0.223,0.206
82,0.228,0.318
83,0.234,0.431
84,0.237,0.489
85,0.240,0.546
86,0.242,0.598
87,0.244,0.626
88,0.245,0.655
89,0.246,0.678
90,0.247,0.693
91,0.248,0.707
92,0.249,0.719
93,0.251,0.730
94,0.253,0.740
95,0.255,0.748
96,0.256,0.753
97,0.258,0.759
98,0.259,0.762
99,0.259,0.765
100,0.260,0.768
