Frame,x,y
1,0.917,0.032
2,0.921,0.032
3,0.925,0.032
4,0.93,0.031
5,0.935,0.029
6,0.939,0.026
7,0.941,0.022
8,0.942,0.016
9,0.941,0.012
10,0.94,0.011
11,0.94,0.014
12,0.94,0.024
13,0.941,0.042
14,0.944,0.069
15,0.948,0.106
16,0.954,0.154
17,0.96,0.215
18,0.968,0.288
19,0.976,0.373
20,0.984,0.463
21,0.992,0.552
22,0.997,0.637
23,1.0,0.71
24,1.0,0.768
25,0.998,0.812
26,0.994,0.844
27,0.991,0.867
28,0.988,0.882
29,0.988,0.891
30,0.99,0.897
31,0.992,0.899
32,0.994,0.898
33,0.993,0.894
34,0.988,0.887
35,0.979,0.878
36,0.966,0.869
37,0.952,0.86
38,0.94,0.852
39,0.931,0.848
40,0.928,0.847
41,0.93,0.851
42,0.934,0.855
43,0.937,0.857
44,0.936,0.856
45,0.929,0.847
46,0.912,0.829
47,0.886,0.802
48,0.851,0.765
49,0.807,0.718
50,0.755,0.661
51,0.695,0.595
52,0.63,0.521
53,0.566,0.448
54,0.507,0.38
55,0.46,0.326
56,0.429,0.29
57,0.418,0.277
58,0.421,0.281
59,0.43,0.292
60,0.438,0.301
61,0.436,0.298
62,0.417,0.276
63,0.381,0.232
64,0.331,0.176
65,0.276,0.116
66,0.219,0.06
67,0.167,0.016
68,0.125,0.0
69,0.092,0.0
70,0.067,0.0
71,0.05,0.0
72,0.039,0.0
73,0.034,0.001
74,0.032,0.001
75,0.033,0.0
76,0.035,0.0
77,0.036,0.0
78,0.036,0.0
79,0.033,0.013
80,0.028,0.036
81,0.022,0.072
82,0.016,0.123
83,0.013,0.192
84,0.012,0.281
85,0.014,0.386
86,0.019,0.496
87,0.025,0.6
88,0.031,0.689
89,0.036,0.75
90,0.04,0.778
91,0.042,0.779
92,0.043,0.766
93,0.041,0.751
94,0.038,0.746
95,0.033,0.761
96,0.027,0.798
97,0.019,0.849
98,0.012,0.905
99,0.005,0.959
100,-0.0,1.0
