Frame,x,y
1,0.858,0.0
2,0.866,0.04
3,0.876,0.092
4,0.887,0.148
5,0.898,0.202
6,0.908,0.247
7,0.914,0.276
8,0.917,0.284
9,0.917,0.276
10,0.914,0.26
11,0.912,0.247
12,0.911,0.246
13,0.913,0.265
14,0.919,0.313
15,0.929,0.388
16,0.941,0.479
17,0.955,0.575
18,0.967,0.666
19,0.977,0.741
20,0.983,0.789
21,0.986,0.81
22,0.985,0.809
23,0.983,0.797
24,0.981,0.782
25,0.98,0.771
26,0.982,0.775
27,0.986,0.795
28,0.992,0.829
29,0.998,0.869
30,1.0,0.91
31,1.0,0.947
32,1.0,0.972
33,0.99,0.983
34,0.977,0.982
35,0.962,0.972
36,0.947,0.959
37,0.934,0.945
38,0.926,0.935
39,0.923,0.932
40,0.926,0.934
41,0.93,0.939
42,0.934,0.943
43,0.934,0.944
44,0.928,0.938
45,0.914,0.922
46,0.892,0.896
47,0.862,0.86
48,0.824,0.814
49,0.781,0.757
50,0.734,0.691
51,0.682,0.615
52,0.628,0.532
53,0.575,0.448
54,0.525,0.367
55,0.483,0.296
56,0.45,0.24
57,0.429,0.204
58,0.421,0.189
59,0.423,0.19
60,0.429,0.199
61,0.435,0.21
62,0.438,0.216
63,0.433,0.212
64,0.417,0.192
65,0.393,0.161
66,0.362,0.125
67,0.327,0.089
68,0.291,0.058
69,0.257,0.038
70,0.226,0.033
71,0.199,0.04
72,0.176,0.055
73,0.158,0.073
74,0.144,0.09
75,0.134,0.102
76,0.128,0.103
77,0.126,0.097
78,0.127,0.089
79,0.129,0.082
80,0.131,0.082
81,0.132,0.093
82,0.131,0.121
83,0.128,0.165
84,0.123,0.225
85,0.115,0.296
86,0.105,0.377
87,0.093,0.465
88,0.08,0.557
89,0.064,0.651
90,0.048,0.742
91,0.033,0.827
92,0.019,0.902
93,0.007,0.963
94,0.0,1.0
95,0.0,1.0
96,0.0,1.0
97,0.0,1.0
98,0.0,1.0
99,0.0,1.0
100,0.0,1.0
