Frame,x,y
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,1.0,0.0
5,1.0,-0.0
6,1.0,0.022
7,0.997,0.057
8,0.995,0.096
9,0.992,0.133
10,0.99,0.157
11,0.988,0.162
12,0.988,0.152
13,0.988,0.138
14,0.989,0.135
15,0.989,0.156
16,0.989,0.212
17,0.988,0.295
18,0.987,0.392
19,0.983,0.489
20,0.978,0.574
21,0.971,0.636
22,0.963,0.678
23,0.955,0.705
24,0.949,0.72
25,0.946,0.728
26,0.946,0.731
27,0.947,0.73
28,0.948,0.728
29,0.947,0.726
30,0.945,0.724
31,0.94,0.722
32,0.934,0.722
33,0.929,0.723
34,0.926,0.725
35,0.926,0.728
36,0.927,0.73
37,0.928,0.731
38,0.928,0.729
39,0.925,0.723
40,0.917,0.712
41,0.905,0.698
42,0.89,0.681
43,0.872,0.663
44,0.851,0.644
45,0.826,0.623
46,0.795,0.596
47,0.755,0.559
48,0.703,0.509
49,0.64,0.442
50,0.569,0.366
51,0.501,0.291
52,0.444,0.228
53,0.407,0.186
54,0.395,0.17
55,0.398,0.173
56,0.408,0.184
57,0.413,0.191
58,0.405,0.185
59,0.381,0.164
60,0.345,0.134
61,0.304,0.106
62,0.263,0.087
63,0.23,0.086
64,0.204,0.099
65,0.186,0.118
66,0.174,0.138
67,0.168,0.148
68,0.167,0.145
69,0.168,0.135
70,0.17,0.127
71,0.17,0.132
72,0.166,0.158
73,0.158,0.207
74,0.147,0.268
75,0.136,0.326
76,0.128,0.369
77,0.125,0.385
78,0.126,0.377
79,0.129,0.361
80,0.131,0.354
81,0.127,0.374
82,0.116,0.434
83,0.099,0.526
84,0.079,0.634
85,0.058,0.742
86,0.04,0.836
87,0.025,0.903
88,0.014,0.948
89,0.007,0.975
90,0.002,0.989
91,0.0,0.995
92,0.0,0.997
93,0.0,0.997
94,0.0,0.995
95,0.0,0.993
96,0.002,0.993
97,0.004,0.994
98,0.007,0.996
99,0.009,0.998
100,0.011,1.0
