Frame,x,y
1,0.979,0.102
2,0.979,0.098
3,0.979,0.094
4,0.979,0.094
5,0.979,0.102
6,0.979,0.12
7,0.979,0.15
8,0.979,0.187
9,0.98,0.222
10,0.979,0.25
11,0.979,0.263
12,0.978,0.259
13,0.977,0.246
14,0.977,0.236
15,0.977,0.24
16,0.979,0.269
17,0.983,0.329
18,0.987,0.408
19,0.992,0.49
20,0.997,0.562
21,1.0,0.609
22,1.0,0.624
23,1.0,0.618
24,1.0,0.604
25,1.0,0.596
26,0.999,0.607
27,0.995,0.643
28,0.99,0.697
29,0.983,0.758
30,0.975,0.819
31,0.965,0.87
32,0.952,0.904
33,0.935,0.924
34,0.913,0.931
35,0.885,0.925
36,0.85,0.908
37,0.808,0.883
38,0.764,0.856
39,0.725,0.83
40,0.695,0.811
41,0.68,0.804
42,0.679,0.808
43,0.686,0.817
44,0.693,0.822
45,0.691,0.816
46,0.674,0.791
47,0.64,0.745
48,0.592,0.683
49,0.535,0.608
50,0.473,0.526
51,0.411,0.44
52,0.353,0.356
53,0.301,0.279
54,0.259,0.214
55,0.229,0.167
56,0.215,0.143
57,0.214,0.139
58,0.22,0.146
59,0.226,0.155
60,0.225,0.157
61,0.211,0.142
62,0.183,0.111
63,0.148,0.073
64,0.11,0.035
65,0.074,0.006
66,0.046,0.0
67,0.026,0.0
68,0.013,0.009
69,0.005,0.024
70,0.001,0.033
71,0.0,0.032
72,0.0,0.023
73,0.0,0.014
74,0.0,0.013
75,-0.0,0.027
76,0.0,0.063
77,0.001,0.116
78,0.001,0.175
79,0.001,0.229
80,0.0,0.266
81,-0.0,0.278
82,0.0,0.271
83,0.0,0.258
84,0.0,0.252
85,-0.0,0.266
86,0.002,0.311
87,0.005,0.383
88,0.009,0.47
89,0.014,0.564
90,0.02,0.653
91,0.028,0.728
92,0.036,0.79
93,0.045,0.84
94,0.054,0.881
95,0.063,0.914
96,0.071,0.941
97,0.079,0.963
98,0.086,0.98
99,0.091,0.992
100,0.095,1.0
