Frame,x,y
1,0.926,0.182
2,0.927,0.185
3,0.928,0.188
4,0.932,0.199
5,0.937,0.212
6,0.939,0.221
7,0.941,0.227
8,0.945,0.244
9,0.951,0.269
10,0.955,0.289
11,0.958,0.302
12,0.960,0.320
13,0.962,0.356
14,0.964,0.390
15,0.965,0.407
16,0.966,0.425
17,0.967,0.465
18,0.968,0.507
19,0.968,0.533
20,0.968,0.554
21,0.969,0.587
22,0.970,0.627
23,0.970,0.658
24,0.970,0.678
25,0.969,0.700
26,0.968,0.724
27,0.966,0.746
28,0.965,0.758
29,0.964,0.770
30,0.957,0.778
31,0.951,0.785
32,0.948,0.789
33,0.945,0.793
34,0.936,0.788
35,0.925,0.780
36,0.917,0.773
37,0.911,0.769
38,0.902,0.758
39,0.887,0.738
40,0.874,0.722
41,0.867,0.712
42,0.858,0.701
43,0.839,0.676
44,0.821,0.651
45,0.811,0.638
46,0.802,0.625
47,0.784,0.600
48,0.765,0.573
49,0.751,0.555
50,0.741,0.541
51,0.726,0.518
52,0.705,0.487
53,0.688,0.461
54,0.678,0.445
55,0.666,0.425
56,0.644,0.390
57,0.624,0.355
58,0.612,0.338
59,0.601,0.320
60,0.587,0.297
61,0.572,0.274
62,0.563,0.260
63,0.555,0.249
64,0.547,0.236
65,0.537,0.223
66,0.530,0.213
67,0.525,0.207
68,0.521,0.201
69,0.516,0.198
70,0.512,0.196
71,0.510,0.195
72,0.508,0.194
73,0.508,0.200
74,0.508,0.207
75,0.508,0.211
76,0.508,0.215
77,0.509,0.226
78,0.510,0.241
79,0.510,0.252
80,0.511,0.259
81,0.515,0.275
82,0.523,0.303
83,0.531,0.329
84,0.535,0.344
85,0.538,0.361
86,0.546,0.405
87,0.553,0.448
88,0.557,0.472
89,0.561,0.495
90,0.566,0.530
91,0.572,0.570
92,0.576,0.598
93,0.578,0.619
94,0.581,0.649
95,0.583,0.691
96,0.584,0.727
97,0.585,0.748
98,0.586,0.771
99,0.585,0.800
100,0.584,0.830
