Frame,x,y
1,0.864,0.098
2,0.864,0.097
3,0.864,0.097
4,0.865,0.104
5,0.866,0.109
6,0.866,0.112
7,0.868,0.123
8,0.871,0.140
9,0.873,0.152
10,0.874,0.161
11,0.877,0.191
12,0.880,0.226
13,0.882,0.243
14,0.884,0.266
15,0.887,0.311
16,0.888,0.350
17,0.889,0.373
18,0.891,0.412
19,0.892,0.467
20,0.893,0.505
21,0.894,0.533
22,0.895,0.575
23,0.896,0.620
24,0.896,0.642
25,0.896,0.666
26,0.897,0.699
27,0.898,0.727
28,0.898,0.744
29,0.896,0.761
30,0.893,0.780
31,0.891,0.793
32,0.890,0.802
33,0.883,0.805
34,0.874,0.806
35,0.870,0.807
36,0.864,0.806
37,0.851,0.793
38,0.840,0.782
39,0.833,0.775
40,0.822,0.760
41,0.805,0.736
42,0.795,0.720
43,0.787,0.708
44,0.770,0.681
45,0.750,0.652
46,0.740,0.637
47,0.729,0.619
48,0.708,0.590
49,0.691,0.565
50,0.681,0.550
51,0.664,0.523
52,0.640,0.486
53,0.624,0.462
54,0.612,0.443
55,0.592,0.410
56,0.570,0.374
57,0.559,0.357
58,0.548,0.337
59,0.535,0.310
60,0.524,0.287
61,0.517,0.273
62,0.510,0.257
63,0.501,0.238
64,0.495,0.225
65,0.491,0.216
66,0.486,0.205
67,0.482,0.194
68,0.480,0.189
69,0.477,0.184
70,0.474,0.184
71,0.472,0.184
72,0.471,0.184
73,0.469,0.189
74,0.468,0.200
75,0.467,0.208
76,0.466,0.213
77,0.463,0.234
78,0.460,0.258
79,0.459,0.270
80,0.458,0.286
81,0.455,0.319
82,0.454,0.347
83,0.453,0.364
84,0.452,0.394
85,0.452,0.439
86,0.452,0.469
87,0.452,0.492
88,0.453,0.530
89,0.454,0.570
90,0.454,0.590
91,0.454,0.612
92,0.454,0.649
93,0.454,0.680
94,0.454,0.699
95,0.455,0.723
96,0.456,0.752
97,0.457,0.772
98,0.458,0.787
99,0.459,0.805
100,0.460,0.822
