Frame,x,y
1,0.916,0.174
2,0.922,0.193
3,0.929,0.212
4,0.932,0.223
5,0.935,0.232
6,0.938,0.257
7,0.942,0.291
8,0.945,0.319
9,0.947,0.336
10,0.948,0.359
11,0.946,0.402
12,0.944,0.446
13,0.943,0.468
14,0.942,0.490
15,0.939,0.531
16,0.935,0.577
17,0.933,0.610
18,0.931,0.632
19,0.928,0.658
20,0.922,0.687
21,0.917,0.713
22,0.915,0.727
23,0.912,0.742
24,0.902,0.751
25,0.892,0.760
26,0.886,0.766
27,0.882,0.770
28,0.871,0.765
29,0.857,0.753
30,0.845,0.744
31,0.838,0.738
32,0.829,0.729
33,0.812,0.705
34,0.796,0.680
35,0.788,0.668
36,0.780,0.656
37,0.765,0.632
38,0.749,0.605
39,0.737,0.586
40,0.729,0.572
41,0.718,0.552
42,0.704,0.523
43,0.691,0.497
44,0.683,0.483
45,0.676,0.468
46,0.661,0.435
47,0.645,0.403
48,0.635,0.383
49,0.627,0.367
50,0.617,0.345
51,0.607,0.319
52,0.598,0.299
53,0.592,0.286
54,0.586,0.273
55,0.578,0.255
56,0.570,0.238
57,0.566,0.229
58,0.563,0.220
59,0.558,0.212
60,0.554,0.205
61,0.550,0.200
62,0.548,0.196
63,0.545,0.195
64,0.542,0.199
65,0.540,0.202
66,0.539,0.204
67,0.538,0.206
68,0.536,0.220
69,0.534,0.233
70,0.533,0.241
71,0.532,0.247
72,0.533,0.263
73,0.535,0.283
74,0.536,0.300
75,0.537,0.311
76,0.539,0.327
77,0.545,0.364
78,0.550,0.400
79,0.553,0.418
80,0.555,0.436
81,0.560,0.470
82,0.564,0.507
83,0.568,0.533
84,0.570,0.551
85,0.573,0.575
86,0.577,0.608
87,0.580,0.637
88,0.582,0.654
89,0.584,0.670
90,0.588,0.700
91,0.591,0.730
92,0.593,0.748
93,0.595,0.762
94,0.598,0.778
95,0.600,0.794
96,0.602,0.807
97,0.603,0.815
98,0.604,0.821
99,0.606,0.819
100,0.608,0.816
