Frame,x,y
1,1.202,0.874
2,1.201,0.873
3,1.201,0.871
4,1.200,0.870
5,1.200,0.869
6,1.200,0.869
7,1.200,0.868
8,1.200,0.867
9,1.199,0.865
10,1.198,0.863
11,1.198,0.861
12,1.198,0.860
13,1.198,0.859
14,1.198,0.857
15,1.197,0.851
16,1.197,0.845
17,1.196,0.840
18,1.195,0.837
19,1.195,0.835
20,1.194,0.832
21,1.193,0.827
22,1.193,0.820
23,1.192,0.814
24,1.192,0.810
25,1.192,0.807
26,1.192,0.804
27,1.192,0.798
28,1.191,0.790
29,1.190,0.782
30,1.190,0.775
31,1.190,0.770
32,1.190,0.766
33,1.190,0.761
34,1.189,0.751
35,1.189,0.740
36,1.188,0.729
37,1.188,0.723
38,1.188,0.717
39,1.188,0.712
40,1.187,0.701
41,1.186,0.687
42,1.185,0.673
43,1.184,0.663
44,1.183,0.656
45,1.182,0.649
46,1.182,0.640
47,1.181,0.625
48,1.181,0.610
49,1.180,0.595
50,1.179,0.588
51,1.179,0.580
52,1.178,0.573
53,1.178,0.557
54,1.178,0.541
55,1.178,0.525
56,1.178,0.514
57,1.178,0.506
58,1.178,0.498
59,1.178,0.486
60,1.178,0.470
61,1.178,0.455
62,1.178,0.441
63,1.178,0.433
64,1.178,0.425
65,1.178,0.416
66,1.177,0.400
67,1.175,0.385
68,1.174,0.369
69,1.173,0.360
70,1.173,0.352
71,1.172,0.344
72,1.171,0.331
73,1.169,0.316
74,1.167,0.301
75,1.166,0.290
76,1.165,0.282
77,1.164,0.275
78,1.164,0.265
79,1.163,0.251
80,1.163,0.238
81,1.162,0.225
82,1.162,0.218
83,1.162,0.211
84,1.162,0.204
85,1.161,0.191
86,1.161,0.178
87,1.160,0.165
88,1.160,0.157
89,1.159,0.151
90,1.158,0.145
91,1.158,0.136
92,1.157,0.126
93,1.156,0.116
94,1.156,0.108
95,1.156,0.103
96,1.156,0.098
97,1.156,0.093
98,1.154,0.086
99,1.152,0.079
100,1.150,0.072
