Frame,x,y
1,0.210,0.740
2,0.210,0.739
3,0.210,0.738
4,0.210,0.738
5,0.210,0.738
6,0.210,0.738
7,0.212,0.734
8,0.215,0.728
9,0.218,0.724
10,0.220,0.721
11,0.221,0.719
12,0.226,0.713
13,0.233,0.703
14,0.240,0.694
15,0.243,0.690
16,0.246,0.685
17,0.252,0.678
18,0.262,0.666
19,0.272,0.655
20,0.278,0.647
21,0.282,0.641
22,0.288,0.634
23,0.301,0.623
24,0.314,0.611
25,0.323,0.603
26,0.330,0.596
27,0.336,0.590
28,0.348,0.580
29,0.361,0.569
30,0.372,0.560
31,0.378,0.555
32,0.384,0.549
33,0.395,0.541
34,0.407,0.532
35,0.419,0.523
36,0.425,0.519
37,0.431,0.514
38,0.441,0.508
39,0.454,0.501
40,0.467,0.495
41,0.474,0.491
42,0.480,0.488
43,0.489,0.485
44,0.505,0.482
45,0.521,0.479
46,0.531,0.477
47,0.539,0.475
48,0.548,0.474
49,0.565,0.475
50,0.582,0.476
51,0.594,0.476
52,0.603,0.476
53,0.611,0.476
54,0.626,0.478
55,0.641,0.480
56,0.654,0.482
57,0.662,0.484
58,0.670,0.486
59,0.681,0.488
60,0.695,0.491
61,0.709,0.494
62,0.715,0.496
63,0.722,0.497
64,0.733,0.500
65,0.746,0.505
66,0.760,0.509
67,0.768,0.512
68,0.775,0.514
69,0.783,0.517
70,0.796,0.523
71,0.808,0.528
72,0.816,0.532
73,0.822,0.534
74,0.829,0.536
75,0.840,0.542
76,0.852,0.549
77,0.860,0.553
78,0.866,0.556
79,0.871,0.560
80,0.881,0.566
81,0.892,0.573
82,0.901,0.579
83,0.907,0.582
84,0.912,0.585
85,0.920,0.590
86,0.929,0.597
87,0.938,0.604
88,0.943,0.608
89,0.947,0.612
90,0.954,0.617
91,0.963,0.625
92,0.972,0.633
93,0.978,0.637
94,0.982,0.641
95,0.988,0.646
96,0.996,0.654
97,1.005,0.663
98,1.010,0.668
99,1.014,0.672
100,1.018,0.676
