Frame,x,y
1,0.216,0.720
2,0.215,0.721
3,0.214,0.722
4,0.214,0.722
5,0.213,0.722
6,0.208,0.719
7,0.204,0.716
8,0.202,0.714
9,0.200,0.712
10,0.199,0.711
11,0.198,0.710
12,0.197,0.710
13,0.197,0.705
14,0.199,0.689
15,0.200,0.677
16,0.201,0.668
17,0.202,0.662
18,0.202,0.658
19,0.202,0.655
20,0.202,0.653
21,0.215,0.633
22,0.236,0.601
23,0.251,0.580
24,0.263,0.565
25,0.270,0.554
26,0.275,0.546
27,0.278,0.541
28,0.281,0.537
29,0.295,0.521
30,0.310,0.502
31,0.318,0.492
32,0.326,0.483
33,0.330,0.478
34,0.334,0.474
35,0.349,0.463
36,0.364,0.452
37,0.372,0.445
38,0.378,0.440
39,0.383,0.437
40,0.386,0.434
41,0.388,0.433
42,0.396,0.430
43,0.419,0.423
44,0.440,0.417
45,0.452,0.413
46,0.462,0.409
47,0.468,0.407
48,0.473,0.406
49,0.476,0.405
50,0.492,0.401
51,0.520,0.395
52,0.542,0.390
53,0.556,0.387
54,0.566,0.385
55,0.573,0.383
56,0.578,0.381
57,0.581,0.380
58,0.594,0.376
59,0.610,0.371
60,0.620,0.368
61,0.629,0.366
62,0.633,0.365
63,0.638,0.364
64,0.640,0.363
65,0.642,0.362
66,0.725,0.397
67,0.814,0.434
68,0.858,0.453
69,0.901,0.471
70,0.924,0.480
71,0.945,0.489
72,0.957,0.494
73,0.971,0.503
74,0.999,0.528
75,1.023,0.551
76,1.038,0.563
77,1.050,0.574
78,1.057,0.580
79,1.063,0.585
80,1.066,0.588
81,1.073,0.598
82,1.084,0.616
83,1.092,0.630
84,1.098,0.640
85,1.102,0.647
86,1.105,0.652
87,1.114,0.666
88,1.127,0.687
89,1.136,0.701
90,1.142,0.711
91,1.146,0.718
92,1.149,0.723
93,1.152,0.726
94,1.154,0.728
95,1.159,0.736
96,1.165,0.747
97,1.169,0.753
98,1.172,0.758
99,1.174,0.764
100,1.176,0.770
