Frame,x,y
1,0.064,0.696
2,0.063,0.697
3,0.061,0.698
4,0.060,0.698
5,0.060,0.696
6,0.060,0.696
7,0.060,0.696
8,0.060,0.696
9,0.060,0.696
10,0.062,0.691
11,0.066,0.681
12,0.068,0.676
13,0.069,0.672
14,0.070,0.670
15,0.070,0.668
16,0.081,0.647
17,0.091,0.628
18,0.098,0.616
19,0.101,0.610
20,0.103,0.606
21,0.109,0.599
22,0.135,0.572
23,0.150,0.555
24,0.161,0.543
25,0.168,0.536
26,0.171,0.533
27,0.170,0.517
28,0.168,0.492
29,0.166,0.478
30,0.166,0.469
31,0.171,0.456
32,0.186,0.429
33,0.194,0.415
34,0.200,0.405
35,0.204,0.398
36,0.205,0.395
37,0.219,0.380
38,0.236,0.361
39,0.246,0.350
40,0.272,0.328
41,0.296,0.309
42,0.310,0.298
43,0.317,0.292
44,0.341,0.284
45,0.375,0.275
46,0.393,0.269
47,0.404,0.266
48,0.411,0.264
49,0.416,0.262
50,0.448,0.258
51,0.475,0.255
52,0.493,0.252
53,0.501,0.250
54,0.507,0.250
55,0.519,0.251
56,0.556,0.255
57,0.577,0.257
58,0.592,0.259
59,0.602,0.260
60,0.606,0.260
61,0.626,0.264
62,0.653,0.271
63,0.668,0.275
64,0.677,0.277
65,0.684,0.279
66,0.688,0.280
67,0.716,0.295
68,0.737,0.306
69,0.751,0.314
70,0.758,0.319
71,0.763,0.321
72,0.793,0.344
73,0.890,0.420
74,0.944,0.463
75,0.981,0.493
76,1.004,0.512
77,1.016,0.522
78,1.028,0.540
79,1.040,0.560
80,1.047,0.572
81,1.050,0.579
82,1.053,0.583
83,1.054,0.586
84,1.062,0.609
85,1.068,0.626
86,1.072,0.637
87,1.075,0.642
88,1.085,0.662
89,1.096,0.682
90,1.103,0.695
91,1.107,0.701
92,1.109,0.705
93,1.111,0.709
94,1.124,0.725
95,1.133,0.736
96,1.139,0.743
97,1.142,0.747
98,1.143,0.749
99,1.146,0.752
100,1.150,0.758
