Frame,x,y
1,0.616,0.526
2,0.602,0.524
3,0.594,0.522
4,0.590,0.522
5,0.502,0.564
6,0.454,0.587
7,0.431,0.597
8,0.419,0.604
9,0.387,0.604
10,0.368,0.604
11,0.359,0.604
12,0.354,0.604
13,0.314,0.595
14,0.289,0.589
15,0.276,0.586
16,0.269,0.584
17,0.248,0.572
18,0.234,0.565
19,0.227,0.561
20,0.223,0.558
21,0.206,0.501
22,0.194,0.458
23,0.187,0.436
24,0.184,0.424
25,0.213,0.358
26,0.235,0.307
27,0.247,0.281
28,0.253,0.269
29,0.273,0.247
30,0.290,0.230
31,0.327,0.219
32,0.358,0.212
33,0.374,0.209
34,0.410,0.216
35,0.442,0.224
36,0.458,0.227
37,0.466,0.229
38,0.488,0.246
39,0.510,0.265
40,0.521,0.274
41,0.526,0.278
42,0.548,0.296
43,0.572,0.316
44,0.585,0.325
45,0.590,0.330
46,0.607,0.347
47,0.627,0.367
48,0.637,0.377
49,0.642,0.382
50,0.660,0.405
51,0.684,0.437
52,0.696,0.453
53,0.702,0.461
54,0.746,0.496
55,0.815,0.547
56,0.850,0.574
57,0.867,0.587
58,0.896,0.606
59,0.937,0.631
60,0.957,0.643
61,0.966,0.650
62,0.984,0.647
63,1.013,0.638
64,1.028,0.633
65,1.049,0.623
66,1.084,0.607
67,1.101,0.598
68,1.110,0.593
69,1.123,0.585
70,1.146,0.567
71,1.158,0.558
72,1.165,0.553
73,1.172,0.539
74,1.184,0.498
75,1.191,0.477
76,1.194,0.467
77,1.172,0.440
78,1.083,0.355
79,1.038,0.313
80,1.016,0.292
81,0.988,0.275
82,0.906,0.245
83,0.864,0.229
84,0.842,0.221
85,0.828,0.219
86,0.804,0.224
87,0.791,0.226
88,0.786,0.228
89,0.776,0.232
90,0.729,0.262
91,0.705,0.277
92,0.692,0.287
93,0.663,0.319
94,0.648,0.336
95,0.640,0.344
96,0.635,0.350
97,0.616,0.409
98,0.606,0.438
99,0.600,0.452
100,0.598,0.460
