Frame,x,y
1,0.557,0.453
2,0.551,0.462
3,0.542,0.477
4,0.53,0.496
5,0.515,0.519
6,0.498,0.544
7,0.478,0.571
8,0.456,0.597
9,0.431,0.623
10,0.402,0.648
11,0.368,0.673
12,0.332,0.696
13,0.302,0.714
14,0.286,0.722
15,0.285,0.721
16,0.29,0.718
17,0.288,0.721
18,0.269,0.735
19,0.235,0.746
20,0.19,0.737
21,0.138,0.696
22,0.086,0.631
23,0.042,0.559
24,0.015,0.496
25,0.003,0.444
26,0.0,0.398
27,-0.0,0.35
28,0.0,0.298
29,0.001,0.246
30,0.006,0.197
31,0.016,0.153
32,0.03,0.114
33,0.046,0.079
34,0.064,0.046
35,0.083,0.019
36,0.103,0.001
37,0.126,0.0
38,0.15,0.001
39,0.174,0.016
40,0.199,0.039
41,0.223,0.068
42,0.248,0.099
43,0.273,0.132
44,0.3,0.166
45,0.329,0.203
46,0.362,0.246
47,0.398,0.297
48,0.437,0.353
49,0.477,0.413
50,0.517,0.476
51,0.557,0.539
52,0.594,0.599
53,0.63,0.655
54,0.664,0.708
55,0.701,0.763
56,0.741,0.82
57,0.779,0.876
58,0.807,0.918
59,0.816,0.936
60,0.81,0.933
61,0.806,0.927
62,0.822,0.935
63,0.862,0.96
64,0.911,0.988
65,0.951,1.0
66,0.973,0.986
67,0.981,0.953
68,0.985,0.91
69,0.99,0.866
70,0.995,0.82
71,1.0,0.77
72,0.999,0.713
73,0.994,0.653
74,0.986,0.595
75,0.974,0.543
76,0.961,0.5
77,0.948,0.468
78,0.935,0.447
79,0.922,0.435
80,0.91,0.43
81,0.896,0.43
82,0.879,0.432
83,0.859,0.436
84,0.838,0.442
85,0.814,0.449
86,0.79,0.459
87,0.764,0.473
88,0.738,0.492
89,0.711,0.513
90,0.685,0.537
91,0.659,0.561
92,0.633,0.583
93,0.609,0.604
94,0.586,0.623
95,0.566,0.641
96,0.546,0.658
97,0.526,0.678
98,0.508,0.7
99,0.492,0.719
100,0.481,0.733
