Frame,x,y
1,0.638,0.544
2,0.638,0.545
3,0.638,0.546
4,0.638,0.546
5,0.636,0.549
6,0.634,0.555
7,0.626,0.567
8,0.621,0.576
9,0.617,0.582
10,0.604,0.596
11,0.589,0.611
12,0.581,0.618
13,0.565,0.630
14,0.541,0.648
15,0.526,0.660
16,0.512,0.670
17,0.483,0.685
18,0.461,0.696
19,0.446,0.703
20,0.425,0.706
21,0.406,0.708
22,0.395,0.709
23,0.387,0.711
24,0.381,0.712
25,0.372,0.698
26,0.365,0.678
27,0.360,0.648
28,0.357,0.627
29,0.354,0.613
30,0.357,0.584
31,0.361,0.560
32,0.363,0.545
33,0.368,0.524
34,0.374,0.500
35,0.376,0.488
36,0.382,0.474
37,0.393,0.455
38,0.400,0.444
39,0.407,0.436
40,0.423,0.428
41,0.435,0.423
42,0.442,0.419
43,0.447,0.416
44,0.452,0.415
45,0.469,0.422
46,0.488,0.435
47,0.511,0.454
48,0.526,0.466
49,0.539,0.477
50,0.561,0.499
51,0.577,0.515
52,0.588,0.526
53,0.610,0.544
54,0.630,0.562
55,0.643,0.572
56,0.661,0.582
57,0.686,0.593
58,0.699,0.598
59,0.714,0.602
60,0.738,0.602
61,0.755,0.602
62,0.767,0.602
63,0.774,0.602
64,0.785,0.600
65,0.810,0.594
66,0.838,0.579
67,0.868,0.560
68,0.883,0.550
69,0.896,0.536
70,0.908,0.513
71,0.916,0.498
72,0.922,0.487
73,0.918,0.470
74,0.915,0.457
75,0.913,0.448
76,0.899,0.439
77,0.883,0.430
78,0.875,0.425
79,0.859,0.421
80,0.833,0.418
81,0.818,0.417
82,0.807,0.416
83,0.801,0.415
84,0.788,0.417
85,0.767,0.423
86,0.742,0.433
87,0.720,0.443
88,0.707,0.449
89,0.693,0.463
90,0.678,0.482
91,0.669,0.493
92,0.662,0.504
93,0.652,0.518
94,0.645,0.528
95,0.640,0.536
96,0.638,0.543
97,0.636,0.549
98,0.634,0.553
99,0.634,0.554
100,0.634,0.554
