Frame,x,y
1,0.232,0.400
2,0.229,0.400
3,0.219,0.417
4,0.214,0.427
5,0.222,0.435
6,0.257,0.453
7,0.268,0.459
8,0.409,0.508
9,0.490,0.536
10,0.573,0.556
11,0.610,0.563
12,0.642,0.565
13,0.694,0.562
14,0.710,0.562
15,0.762,0.558
16,0.789,0.554
17,0.814,0.550
18,0.863,0.536
19,0.877,0.531
20,0.921,0.507
21,0.945,0.494
22,0.960,0.482
23,0.990,0.453
24,1.000,0.444
25,1.016,0.409
26,1.025,0.389
27,1.028,0.373
28,1.030,0.326
29,1.030,0.310
30,1.024,0.262
31,1.021,0.233
32,0.996,0.187
33,0.982,0.163
34,0.966,0.147
35,0.925,0.115
36,0.854,0.086
37,0.820,0.074
38,0.740,0.077
39,0.712,0.078
40,0.650,0.093
41,0.601,0.108
42,0.583,0.112
43,0.513,0.138
44,0.487,0.148
45,0.449,0.166
46,0.414,0.181
47,0.402,0.186
48,0.306,0.343
49,0.269,0.404
50,0.259,0.455
51,0.256,0.500
52,0.256,0.515
53,0.263,0.597
54,0.266,0.630
55,0.276,0.670
56,0.291,0.715
57,0.296,0.729
58,0.320,0.770
59,0.330,0.788
60,0.354,0.819
61,0.362,0.830
62,0.383,0.841
63,0.406,0.851
64,0.414,0.854
65,0.439,0.866
66,0.448,0.870
67,0.471,0.881
68,0.500,0.893
69,0.509,0.898
70,0.558,0.906
71,0.580,0.910
72,0.605,0.910
73,0.640,0.910
74,0.651,0.910
75,0.685,0.908
76,0.700,0.908
77,0.720,0.904
78,0.749,0.896
79,0.759,0.894
80,0.790,0.880
81,0.805,0.873
82,0.843,0.849
83,0.860,0.840
84,0.880,0.820
85,0.905,0.794
86,0.913,0.785
87,0.938,0.751
88,0.950,0.736
89,0.963,0.716
90,0.983,0.689
91,0.987,0.681
92,1.013,0.643
93,1.025,0.625
94,1.037,0.605
95,1.054,0.575
96,1.059,0.565
97,1.071,0.535
98,1.076,0.521
99,1.081,0.509
100,1.090,0.492
