Frame,x,y
1,0.446,0.708
2,0.442,0.708
3,0.440,0.708
4,0.435,0.702
5,0.431,0.695
6,0.427,0.682
7,0.423,0.664
8,0.420,0.647
9,0.416,0.617
10,0.415,0.601
11,0.412,0.572
12,0.411,0.559
13,0.406,0.527
14,0.404,0.518
15,0.400,0.486
16,0.400,0.478
17,0.400,0.440
18,0.400,0.429
19,0.400,0.392
20,0.400,0.368
21,0.400,0.344
22,0.400,0.329
23,0.400,0.303
24,0.400,0.288
25,0.400,0.258
26,0.401,0.245
27,0.406,0.217
28,0.408,0.208
29,0.412,0.180
30,0.412,0.172
31,0.418,0.158
32,0.418,0.154
33,0.425,0.151
34,0.428,0.150
35,0.438,0.145
36,0.442,0.144
37,0.457,0.136
38,0.463,0.132
39,0.487,0.130
40,0.503,0.130
41,0.531,0.132
42,0.539,0.132
43,0.556,0.126
44,0.580,0.126
45,0.598,0.130
46,0.611,0.134
47,0.629,0.135
48,0.647,0.138
49,0.666,0.146
50,0.691,0.160
51,0.706,0.168
52,0.728,0.177
53,0.738,0.184
54,0.759,0.199
55,0.767,0.206
56,0.788,0.222
57,0.794,0.227
58,0.812,0.248
59,0.816,0.254
60,0.827,0.277
61,0.830,0.284
62,0.841,0.313
63,0.848,0.337
64,0.853,0.361
65,0.866,0.420
66,0.896,0.549
67,0.907,0.580
68,0.919,0.580
69,0.922,0.581
70,0.922,0.586
71,0.922,0.586
72,0.922,0.598
73,0.922,0.600
74,0.920,0.611
75,0.920,0.616
76,0.915,0.627
77,0.914,0.631
78,0.904,0.645
79,0.899,0.651
80,0.886,0.669
81,0.875,0.683
82,0.857,0.699
83,0.848,0.707
84,0.819,0.727
85,0.786,0.738
86,0.762,0.740
87,0.750,0.740
88,0.731,0.743
89,0.715,0.746
90,0.696,0.750
91,0.674,0.755
92,0.656,0.757
93,0.631,0.760
94,0.607,0.762
95,0.560,0.767
96,0.543,0.769
97,0.511,0.774
98,0.497,0.774
99,0.449,0.770
100,0.438,0.770
