Frame,x,y
1,0.336,0.514
2,0.338,0.512
3,0.338,0.511
4,0.343,0.505
5,0.350,0.499
6,0.357,0.492
7,0.372,0.474
8,0.381,0.465
9,0.402,0.439
10,0.434,0.399
11,0.462,0.364
12,0.478,0.345
13,0.488,0.332
14,0.515,0.302
15,0.530,0.285
16,0.547,0.263
17,0.560,0.243
18,0.569,0.230
19,0.579,0.219
20,0.584,0.213
21,0.590,0.212
22,0.594,0.212
23,0.600,0.216
24,0.610,0.226
25,0.627,0.241
26,0.636,0.250
27,0.641,0.255
28,0.660,0.271
29,0.677,0.286
30,0.697,0.301
31,0.727,0.324
32,0.744,0.336
33,0.790,0.363
34,0.819,0.379
35,0.855,0.399
36,0.892,0.419
37,0.917,0.434
38,0.951,0.452
39,0.979,0.467
40,0.995,0.477
41,1.004,0.482
42,1.007,0.485
43,1.006,0.488
44,1.005,0.490
45,0.983,0.490
46,0.970,0.490
47,0.931,0.492
48,0.891,0.495
49,0.853,0.496
50,0.791,0.494
51,0.759,0.494
52,0.694,0.506
53,0.605,0.518
54,0.533,0.527
55,0.492,0.531
56,0.464,0.535
57,0.421,0.545
58,0.398,0.551
59,0.368,0.556
60,0.346,0.559
61,0.331,0.561
62,0.317,0.562
63,0.308,0.564
64,0.311,0.566
65,0.313,0.567
66,0.325,0.573
67,0.348,0.585
68,0.375,0.602
69,0.390,0.612
70,0.397,0.617
71,0.425,0.644
72,0.449,0.667
73,0.478,0.694
74,0.518,0.731
75,0.542,0.754
76,0.582,0.789
77,0.605,0.810
78,0.630,0.829
79,0.650,0.845
80,0.666,0.852
81,0.688,0.852
82,0.713,0.834
83,0.726,0.823
84,0.735,0.816
85,0.748,0.795
86,0.765,0.764
87,0.777,0.743
88,0.802,0.697
89,0.816,0.674
90,0.847,0.640
91,0.874,0.611
92,0.896,0.583
93,0.922,0.543
94,0.936,0.521
95,0.954,0.493
96,0.966,0.469
97,0.973,0.454
98,0.977,0.446
99,0.981,0.442
100,0.984,0.444
