Frame,x,y
1,0.302,0.852
2,0.300,0.850
3,0.298,0.848
4,0.298,0.848
5,0.348,0.761
6,0.417,0.639
7,0.449,0.584
8,0.462,0.558
9,0.490,0.501
10,0.504,0.474
11,0.510,0.462
12,0.529,0.429
13,0.553,0.388
14,0.565,0.370
15,0.586,0.305
16,0.597,0.270
17,0.603,0.254
18,0.606,0.242
19,0.609,0.228
20,0.610,0.221
21,0.633,0.180
22,0.652,0.149
23,0.660,0.135
24,0.663,0.127
25,0.662,0.116
26,0.662,0.111
27,0.667,0.106
28,0.673,0.101
29,0.676,0.098
30,0.678,0.098
31,0.676,0.102
32,0.674,0.105
33,0.672,0.127
34,0.669,0.159
35,0.666,0.174
36,0.666,0.182
37,0.666,0.268
38,0.666,0.309
39,0.666,0.328
40,0.667,0.386
41,0.668,0.467
42,0.668,0.505
43,0.668,0.521
44,0.705,0.603
45,0.724,0.644
46,0.749,0.700
47,0.790,0.797
48,0.810,0.842
49,0.819,0.863
50,0.846,0.903
51,0.863,0.927
52,0.814,0.891
53,0.559,0.685
54,0.441,0.589
55,0.388,0.545
56,0.287,0.452
57,0.211,0.378
58,0.177,0.345
59,0.160,0.330
60,0.141,0.318
61,0.131,0.313
62,0.127,0.315
63,0.126,0.318
64,0.126,0.318
65,0.135,0.319
66,0.317,0.346
67,0.403,0.358
68,0.460,0.380
69,0.510,0.412
70,0.534,0.428
71,0.545,0.434
72,0.591,0.444
73,0.614,0.448
74,0.624,0.451
75,0.673,0.420
76,0.753,0.363
77,0.790,0.338
78,0.807,0.327
79,0.832,0.348
80,0.845,0.361
81,0.859,0.366
82,0.884,0.366
83,0.897,0.366
84,0.903,0.366
85,0.911,0.378
86,0.916,0.388
87,0.918,0.392
88,0.916,0.396
89,0.902,0.401
90,0.896,0.403
91,0.853,0.423
92,0.814,0.442
93,0.796,0.450
94,0.781,0.455
95,0.721,0.463
96,0.694,0.467
97,0.645,0.488
98,0.588,0.515
99,0.563,0.527
100,0.550,0.532
