Frame,x,y
1,0.225,0.886
2,0.222,0.867
3,0.22,0.833
4,0.223,0.783
5,0.231,0.719
6,0.245,0.648
7,0.263,0.574
8,0.285,0.498
9,0.31,0.419
10,0.335,0.339
11,0.363,0.265
12,0.392,0.201
13,0.422,0.149
14,0.451,0.104
15,0.479,0.065
16,0.506,0.035
17,0.532,0.014
18,0.558,0.003
19,0.585,-0.0
20,0.616,0.006
21,0.653,0.032
22,0.701,0.089
23,0.752,0.18
24,0.793,0.304
25,0.816,0.454
26,0.822,0.598
27,0.816,0.706
28,0.803,0.775
29,0.787,0.821
30,0.773,0.859
31,0.764,0.892
32,0.761,0.921
33,0.764,0.946
34,0.767,0.964
35,0.767,0.973
36,0.761,0.97
37,0.745,0.949
38,0.721,0.913
39,0.69,0.869
40,0.658,0.825
41,0.623,0.778
42,0.585,0.725
43,0.541,0.665
44,0.488,0.597
45,0.425,0.523
46,0.359,0.447
47,0.3,0.376
48,0.254,0.316
49,0.216,0.267
50,0.182,0.228
51,0.15,0.198
52,0.123,0.178
53,0.102,0.167
54,0.087,0.163
55,0.076,0.165
56,0.071,0.17
57,0.071,0.177
58,0.078,0.185
59,0.092,0.192
60,0.115,0.2
61,0.148,0.207
62,0.192,0.212
63,0.248,0.216
64,0.312,0.22
65,0.378,0.223
66,0.443,0.226
67,0.508,0.228
68,0.571,0.228
69,0.633,0.226
70,0.696,0.224
71,0.76,0.224
72,0.821,0.225
73,0.875,0.227
74,0.922,0.231
75,0.959,0.238
76,0.985,0.248
77,0.999,0.259
78,0.999,0.271
79,0.988,0.285
80,0.968,0.301
81,0.943,0.322
82,0.909,0.35
83,0.865,0.388
84,0.812,0.433
85,0.753,0.48
86,0.69,0.527
87,0.624,0.577
88,0.559,0.632
89,0.493,0.69
90,0.428,0.748
91,0.363,0.8
92,0.301,0.845
93,0.245,0.882
94,0.194,0.911
95,0.146,0.937
96,0.101,0.961
97,0.061,0.98
98,0.031,0.993
99,0.011,0.998
100,-0.0,1.0
