Frame,x,y
1,0.256,0.835
2,0.288,0.795
3,0.322,0.753
4,0.331,0.74
5,0.326,0.747
6,0.335,0.737
7,0.371,0.697
8,0.414,0.643
9,0.45,0.589
10,0.477,0.533
11,0.498,0.469
12,0.515,0.401
13,0.536,0.334
14,0.561,0.271
15,0.59,0.208
16,0.62,0.145
17,0.649,0.087
18,0.672,0.042
19,0.689,0.011
20,0.703,0.0
21,0.715,0.0
22,0.729,0.003
23,0.742,0.024
24,0.748,0.071
25,0.741,0.155
26,0.731,0.259
27,0.726,0.361
28,0.732,0.471
29,0.748,0.619
30,0.767,0.792
31,0.781,0.928
32,0.782,0.98
33,0.773,0.985
34,0.759,0.987
35,0.745,0.996
36,0.74,1.0
37,0.741,1.0
38,0.74,0.999
39,0.73,0.992
40,0.711,0.98
41,0.687,0.962
42,0.66,0.933
43,0.627,0.89
44,0.589,0.833
45,0.54,0.77
46,0.481,0.707
47,0.413,0.645
48,0.343,0.585
49,0.274,0.53
50,0.213,0.482
51,0.162,0.442
52,0.121,0.409
53,0.091,0.383
54,0.068,0.362
55,0.055,0.348
56,0.062,0.338
57,0.102,0.331
58,0.164,0.326
59,0.226,0.325
60,0.281,0.328
61,0.34,0.331
62,0.412,0.333
63,0.486,0.333
64,0.555,0.332
65,0.625,0.332
66,0.708,0.335
67,0.791,0.341
68,0.835,0.344
69,0.832,0.343
70,0.829,0.344
71,0.866,0.351
72,0.925,0.363
73,0.968,0.379
74,0.987,0.396
75,0.995,0.416
76,1.0,0.437
77,1.0,0.458
78,0.992,0.477
79,0.97,0.498
80,0.929,0.523
81,0.876,0.552
82,0.826,0.581
83,0.774,0.612
84,0.693,0.65
85,0.572,0.696
86,0.449,0.743
87,0.366,0.782
88,0.314,0.813
89,0.267,0.841
90,0.215,0.867
91,0.168,0.886
92,0.131,0.896
93,0.098,0.902
94,0.065,0.906
95,0.036,0.91
96,0.014,0.912
97,0.003,0.913
98,-0.0,0.91
99,0.003,0.904
100,0.007,0.9
