Frame,x,y
1,0.340,0.712
2,0.343,0.712
3,0.348,0.712
4,0.350,0.712
5,0.367,0.698
6,0.387,0.682
7,0.394,0.677
8,0.479,0.618
9,0.533,0.580
10,0.554,0.563
11,0.589,0.508
12,0.605,0.482
13,0.615,0.467
14,0.655,0.402
15,0.672,0.375
16,0.677,0.346
17,0.682,0.290
18,0.681,0.259
19,0.665,0.205
20,0.619,0.153
21,0.595,0.129
22,0.585,0.119
23,0.535,0.111
24,0.514,0.108
25,0.457,0.117
26,0.429,0.121
27,0.415,0.125
28,0.312,0.155
29,0.269,0.167
30,0.260,0.200
31,0.276,0.301
32,0.282,0.340
33,0.254,0.386
34,0.206,0.442
35,0.191,0.461
36,0.210,0.520
37,0.230,0.566
38,0.237,0.584
39,0.272,0.630
40,0.290,0.653
41,0.298,0.664
42,0.346,0.700
43,0.366,0.717
44,0.389,0.728
45,0.454,0.757
46,0.481,0.768
47,0.512,0.777
48,0.557,0.788
49,0.572,0.791
50,0.628,0.811
51,0.679,0.829
52,0.753,0.840
53,0.837,0.848
54,0.866,0.851
55,0.927,0.832
56,0.967,0.818
57,0.984,0.812
58,1.025,0.755
59,1.045,0.726
60,1.052,0.712
61,1.057,0.637
62,1.060,0.606
63,1.058,0.579
64,1.049,0.520
65,1.046,0.497
66,1.021,0.448
67,0.980,0.378
68,0.965,0.354
69,0.928,0.317
70,0.899,0.292
71,0.889,0.283
72,0.831,0.257
73,0.798,0.243
74,0.786,0.238
75,0.714,0.219
76,0.683,0.211
77,0.613,0.226
78,0.566,0.275
79,0.535,0.329
80,0.526,0.348
81,0.516,0.412
82,0.511,0.454
83,0.518,0.516
84,0.526,0.565
85,0.529,0.583
86,0.567,0.631
87,0.588,0.657
88,0.596,0.667
89,0.641,0.696
90,0.662,0.709
91,0.683,0.717
92,0.772,0.738
93,0.808,0.746
94,0.839,0.742
95,0.885,0.729
96,0.902,0.723
97,0.931,0.721
98,0.959,0.720
99,0.968,0.720
100,0.980,0.724
