Frame,x,y
1,0.326,0.708
2,0.320,0.710
3,0.316,0.710
4,0.316,0.711
5,0.321,0.712
6,0.324,0.712
7,0.325,0.712
8,0.326,0.712
9,0.370,0.628
10,0.477,0.423
11,0.533,0.315
12,0.566,0.251
13,0.571,0.202
14,0.560,0.163
15,0.554,0.140
16,0.551,0.129
17,0.549,0.121
18,0.534,0.112
19,0.509,0.103
20,0.495,0.098
21,0.488,0.095
22,0.484,0.093
23,0.455,0.105
24,0.397,0.134
25,0.366,0.150
26,0.348,0.159
27,0.337,0.165
28,0.323,0.181
29,0.297,0.215
30,0.283,0.234
31,0.275,0.246
32,0.270,0.253
33,0.269,0.277
34,0.274,0.356
35,0.276,0.395
36,0.277,0.420
37,0.278,0.434
38,0.281,0.451
39,0.295,0.496
40,0.302,0.522
41,0.306,0.537
42,0.309,0.546
43,0.311,0.557
44,0.317,0.603
45,0.321,0.630
46,0.323,0.646
47,0.324,0.656
48,0.325,0.664
49,0.349,0.705
50,0.364,0.730
51,0.373,0.745
52,0.379,0.753
53,0.382,0.758
54,0.487,0.784
55,0.558,0.801
56,0.601,0.811
57,0.628,0.813
58,0.653,0.794
59,0.667,0.784
60,0.676,0.777
61,0.681,0.773
62,0.688,0.772
63,0.735,0.770
64,0.763,0.770
65,0.777,0.655
66,0.781,0.472
67,0.784,0.366
68,0.786,0.312
69,0.786,0.278
70,0.772,0.254
71,0.745,0.234
72,0.729,0.223
73,0.721,0.218
74,0.716,0.214
75,0.684,0.215
76,0.609,0.223
77,0.570,0.227
78,0.548,0.229
79,0.535,0.231
80,0.538,0.279
81,0.569,0.427
82,0.584,0.503
83,0.594,0.549
84,0.622,0.596
85,0.663,0.645
86,0.687,0.673
87,0.700,0.688
88,0.708,0.696
89,0.735,0.712
90,0.784,0.738
91,0.811,0.752
92,0.825,0.760
93,0.834,0.764
94,0.847,0.770
95,0.873,0.780
96,0.886,0.787
97,0.893,0.791
98,0.898,0.793
99,0.903,0.797
100,0.916,0.806
