Frame,x,y
1,1.100,0.804
2,1.104,0.804
3,1.119,0.802
4,1.127,0.800
5,1.132,0.800
6,1.124,0.803
7,1.117,0.806
8,1.114,0.808
9,1.112,0.808
10,1.079,0.815
11,1.051,0.822
12,1.036,0.825
13,1.028,0.827
14,0.963,0.821
15,0.892,0.813
16,0.856,0.808
17,0.837,0.805
18,0.772,0.793
19,0.683,0.777
20,0.637,0.769
21,0.614,0.765
22,0.587,0.764
23,0.550,0.764
24,0.530,0.764
25,0.520,0.764
26,0.505,0.764
27,0.465,0.764
28,0.446,0.764
29,0.435,0.764
30,0.422,0.765
31,0.365,0.770
32,0.335,0.774
33,0.320,0.776
34,0.312,0.776
35,0.287,0.762
36,0.275,0.754
37,0.269,0.750
38,0.280,0.739
39,0.289,0.733
40,0.293,0.730
41,0.296,0.728
42,0.291,0.720
43,0.287,0.715
44,0.285,0.713
45,0.284,0.711
46,0.292,0.691
47,0.300,0.670
48,0.303,0.659
49,0.305,0.654
50,0.335,0.631
51,0.376,0.602
52,0.396,0.587
53,0.407,0.579
54,0.440,0.559
55,0.497,0.524
56,0.526,0.507
57,0.541,0.498
58,0.562,0.484
59,0.604,0.454
60,0.625,0.438
61,0.635,0.429
62,0.648,0.420
63,0.699,0.381
64,0.725,0.361
65,0.738,0.352
66,0.748,0.345
67,0.800,0.308
68,0.825,0.291
69,0.839,0.281
70,0.845,0.276
71,0.886,0.246
72,0.911,0.227
73,0.924,0.217
74,0.964,0.191
75,0.992,0.172
76,1.007,0.162
77,1.014,0.157
78,1.041,0.143
79,1.065,0.130
80,1.094,0.113
81,1.118,0.098
82,1.131,0.091
83,1.125,0.089
84,1.109,0.090
85,1.101,0.090
86,1.097,0.090
87,1.077,0.085
88,1.039,0.076
89,1.020,0.071
90,1.010,0.069
91,0.909,0.071
92,0.607,0.081
93,0.453,0.087
94,0.376,0.090
95,0.327,0.091
96,0.249,0.088
97,0.208,0.086
98,0.187,0.084
99,0.177,0.084
100,0.146,0.086
