Frame,x,y
1,0.600,0.356
2,0.600,0.354
3,0.600,0.354
4,0.600,0.354
5,0.600,0.354
6,0.600,0.338
7,0.600,0.303
8,0.600,0.283
9,0.600,0.273
10,0.600,0.267
11,0.581,0.219
12,0.564,0.179
13,0.555,0.157
14,0.549,0.146
15,0.540,0.136
16,0.505,0.118
17,0.488,0.107
18,0.478,0.101
19,0.473,0.099
20,0.432,0.088
21,0.377,0.074
22,0.347,0.067
23,0.331,0.062
24,0.322,0.060
25,0.315,0.096
26,0.311,0.116
27,0.309,0.128
28,0.308,0.135
29,0.311,0.155
30,0.317,0.195
31,0.320,0.217
32,0.322,0.227
33,0.322,0.233
34,0.331,0.278
35,0.339,0.318
36,0.344,0.340
37,0.347,0.352
38,0.351,0.366
39,0.368,0.416
40,0.377,0.441
41,0.382,0.454
42,0.385,0.463
43,0.401,0.490
44,0.421,0.525
45,0.432,0.545
46,0.438,0.555
47,0.442,0.560
48,0.470,0.608
49,0.489,0.638
50,0.499,0.654
51,0.504,0.663
52,0.514,0.676
53,0.534,0.696
54,0.544,0.706
55,0.549,0.711
56,0.553,0.715
57,0.567,0.730
58,0.579,0.743
59,0.586,0.750
60,0.591,0.755
61,0.592,0.756
62,0.590,0.752
63,0.590,0.750
64,0.599,0.727
65,0.606,0.708
66,0.610,0.698
67,0.635,0.678
68,0.687,0.641
69,0.715,0.621
70,0.729,0.611
71,0.736,0.605
72,0.798,0.527
73,0.850,0.459
74,0.881,0.392
75,0.900,0.317
76,0.911,0.276
77,0.915,0.253
78,0.886,0.194
79,0.870,0.160
80,0.861,0.141
81,0.856,0.130
82,0.834,0.114
83,0.791,0.090
84,0.765,0.079
85,0.718,0.086
86,0.694,0.089
87,0.680,0.091
88,0.656,0.112
89,0.634,0.134
90,0.621,0.147
91,0.615,0.153
92,0.611,0.158
93,0.597,0.193
94,0.590,0.212
95,0.580,0.246
96,0.573,0.274
97,0.569,0.289
98,0.568,0.298
99,0.568,0.305
100,0.568,0.308
