Frame,x,y
1,0.236,0.356
2,0.243,0.381
3,0.251,0.407
4,0.255,0.422
5,0.259,0.435
6,0.261,0.444
7,0.263,0.450
8,0.266,0.468
9,0.272,0.504
10,0.277,0.536
11,0.279,0.554
12,0.282,0.572
13,0.287,0.607
14,0.293,0.643
15,0.296,0.665
16,0.299,0.683
17,0.305,0.712
18,0.313,0.748
19,0.323,0.778
20,0.336,0.799
21,0.347,0.818
22,0.354,0.829
23,0.360,0.840
24,0.366,0.818
25,0.373,0.796
26,0.376,0.783
27,0.379,0.772
28,0.385,0.747
29,0.393,0.711
30,0.399,0.683
31,0.403,0.665
32,0.406,0.648
33,0.408,0.639
34,0.410,0.630
35,0.421,0.594
36,0.432,0.557
37,0.438,0.535
38,0.444,0.517
39,0.459,0.485
40,0.481,0.443
41,0.498,0.410
42,0.509,0.389
43,0.521,0.368
44,0.539,0.347
45,0.556,0.326
46,0.568,0.315
47,0.580,0.304
48,0.587,0.298
49,0.593,0.292
50,0.598,0.298
51,0.600,0.310
52,0.603,0.321
53,0.605,0.327
54,0.606,0.340
55,0.606,0.382
56,0.606,0.424
57,0.606,0.445
58,0.606,0.466
59,0.606,0.478
60,0.606,0.488
61,0.605,0.515
62,0.605,0.553
63,0.604,0.584
64,0.604,0.603
65,0.604,0.627
66,0.606,0.669
67,0.608,0.712
68,0.609,0.734
69,0.610,0.756
70,0.617,0.779
71,0.625,0.803
72,0.639,0.802
73,0.657,0.786
74,0.672,0.773
75,0.681,0.765
76,0.691,0.751
77,0.708,0.719
78,0.724,0.686
79,0.732,0.670
80,0.740,0.653
81,0.762,0.615
82,0.786,0.571
83,0.803,0.541
84,0.815,0.519
85,0.825,0.502
86,0.831,0.491
87,0.842,0.474
88,0.873,0.433
89,0.904,0.392
90,0.919,0.371
91,0.935,0.350
92,0.960,0.318
93,0.987,0.284
94,1.006,0.260
95,1.020,0.242
96,1.034,0.224
97,1.050,0.203
98,1.064,0.183
99,1.072,0.171
100,1.080,0.158
