Frame,x,y
1,1.150,0.214
2,1.153,0.209
3,1.155,0.207
4,1.160,0.204
5,1.168,0.200
6,1.173,0.197
7,1.176,0.195
8,1.179,0.194
9,1.179,0.196
10,1.171,0.209
11,1.167,0.215
12,1.165,0.220
13,1.164,0.222
14,1.162,0.224
15,1.013,0.326
16,0.910,0.395
17,0.834,0.446
18,0.761,0.494
19,0.723,0.518
20,0.700,0.533
21,0.668,0.551
22,0.624,0.574
23,0.601,0.586
24,0.587,0.593
25,0.579,0.598
26,0.564,0.604
27,0.524,0.619
28,0.503,0.627
29,0.490,0.632
30,0.482,0.635
31,0.477,0.636
32,0.441,0.646
33,0.420,0.651
34,0.406,0.655
35,0.397,0.658
36,0.393,0.660
37,0.356,0.674
38,0.325,0.687
39,0.306,0.695
40,0.295,0.700
41,0.288,0.701
42,0.275,0.691
43,0.259,0.675
44,0.250,0.666
45,0.245,0.661
46,0.242,0.659
47,0.231,0.643
48,0.211,0.608
49,0.200,0.590
50,0.193,0.579
51,0.188,0.572
52,0.187,0.559
53,0.193,0.513
54,0.197,0.487
55,0.199,0.472
56,0.200,0.462
57,0.202,0.456
58,0.185,0.424
59,0.174,0.403
60,0.166,0.391
61,0.162,0.384
62,0.160,0.379
63,0.195,0.308
64,0.229,0.239
65,0.250,0.198
66,0.261,0.175
67,0.267,0.163
68,0.281,0.146
69,0.299,0.127
70,0.310,0.116
71,0.314,0.112
72,0.318,0.108
73,0.354,0.115
74,0.447,0.139
75,0.494,0.151
76,0.523,0.159
77,0.541,0.163
78,0.564,0.176
79,0.649,0.243
80,0.698,0.282
81,0.730,0.307
82,0.749,0.322
83,0.759,0.329
84,0.823,0.409
85,0.869,0.466
86,0.898,0.501
87,0.914,0.522
88,0.923,0.533
89,0.957,0.569
90,0.991,0.606
91,1.011,0.627
92,1.022,0.640
93,1.028,0.647
94,1.036,0.670
95,1.047,0.704
96,1.053,0.722
97,1.057,0.732
98,1.059,0.739
99,1.063,0.747
100,1.072,0.762
