Frame,x,y
1,0.0,0.823
2,-0.0,0.824
3,0.0,0.825
4,0.0,0.826
5,0.0,0.828
6,0.0,0.83
7,0.001,0.832
8,0.003,0.835
9,0.007,0.838
10,0.011,0.84
11,0.018,0.843
12,0.025,0.844
13,0.034,0.845
14,0.045,0.844
15,0.059,0.842
16,0.076,0.839
17,0.097,0.834
18,0.122,0.827
19,0.151,0.819
20,0.184,0.809
21,0.219,0.797
22,0.256,0.784
23,0.294,0.77
24,0.332,0.755
25,0.371,0.737
26,0.408,0.717
27,0.444,0.693
28,0.479,0.663
29,0.512,0.627
30,0.542,0.586
31,0.568,0.541
32,0.59,0.495
33,0.605,0.45
34,0.613,0.407
35,0.613,0.369
36,0.607,0.335
37,0.596,0.304
38,0.581,0.275
39,0.564,0.248
40,0.546,0.222
41,0.529,0.196
42,0.511,0.171
43,0.494,0.147
44,0.478,0.126
45,0.462,0.107
46,0.447,0.091
47,0.432,0.079
48,0.418,0.068
49,0.405,0.058
50,0.393,0.049
51,0.382,0.041
52,0.371,0.032
53,0.361,0.023
54,0.351,0.015
55,0.34,0.007
56,0.328,0.0
57,0.315,0.0
58,0.301,0.0
59,0.287,0.0
60,0.275,0.0
61,0.265,0.0
62,0.258,0.006
63,0.255,0.02
64,0.254,0.038
65,0.254,0.059
66,0.253,0.081
67,0.252,0.103
68,0.248,0.125
69,0.243,0.148
70,0.235,0.172
71,0.226,0.201
72,0.216,0.235
73,0.204,0.276
74,0.192,0.324
75,0.183,0.377
76,0.177,0.433
77,0.177,0.49
78,0.185,0.547
79,0.202,0.602
80,0.227,0.654
81,0.258,0.702
82,0.292,0.746
83,0.328,0.785
84,0.362,0.817
85,0.395,0.844
86,0.428,0.867
87,0.462,0.886
88,0.498,0.904
89,0.538,0.922
90,0.582,0.941
91,0.631,0.959
92,0.681,0.976
93,0.732,0.989
94,0.782,0.998
95,0.831,1.0
96,0.876,0.997
97,0.917,0.99
98,0.952,0.98
99,0.98,0.971
100,1.0,0.963
