Frame,x,y
1,0.412,0.854
2,0.412,0.852
3,0.412,0.850
4,0.413,0.832
5,0.414,0.816
6,0.415,0.807
7,0.416,0.796
8,0.416,0.757
9,0.416,0.720
10,0.416,0.701
11,0.417,0.680
12,0.424,0.638
13,0.430,0.600
14,0.433,0.579
15,0.436,0.555
16,0.436,0.501
17,0.436,0.452
18,0.436,0.426
19,0.437,0.396
20,0.446,0.349
21,0.453,0.307
22,0.457,0.284
23,0.462,0.259
24,0.469,0.225
25,0.475,0.196
26,0.479,0.180
27,0.483,0.163
28,0.487,0.144
29,0.491,0.127
30,0.493,0.118
31,0.495,0.111
32,0.498,0.108
33,0.500,0.105
34,0.501,0.103
35,0.503,0.106
36,0.506,0.117
37,0.508,0.126
38,0.509,0.131
39,0.513,0.142
40,0.520,0.162
41,0.525,0.178
42,0.528,0.188
43,0.535,0.206
44,0.547,0.234
45,0.557,0.256
46,0.563,0.270
47,0.577,0.295
48,0.600,0.331
49,0.617,0.359
50,0.628,0.377
51,0.648,0.403
52,0.675,0.438
53,0.695,0.463
54,0.709,0.480
55,0.733,0.505
56,0.764,0.536
57,0.786,0.558
58,0.802,0.574
59,0.826,0.595
60,0.856,0.620
61,0.877,0.638
62,0.892,0.651
63,0.910,0.664
64,0.929,0.676
65,0.942,0.684
66,0.951,0.690
67,0.957,0.687
68,0.961,0.680
69,0.963,0.676
70,0.965,0.673
71,0.962,0.657
72,0.957,0.636
73,0.955,0.623
74,0.953,0.613
75,0.945,0.586
76,0.936,0.554
77,0.930,0.534
78,0.925,0.518
79,0.918,0.482
80,0.910,0.442
81,0.905,0.418
82,0.901,0.398
83,0.893,0.362
84,0.883,0.322
85,0.879,0.300
86,0.875,0.281
87,0.867,0.248
88,0.859,0.214
89,0.854,0.195
90,0.850,0.178
91,0.845,0.152
92,0.838,0.126
93,0.835,0.112
94,0.832,0.099
95,0.828,0.088
96,0.824,0.076
97,0.822,0.071
98,0.820,0.066
99,0.818,0.063
100,0.816,0.060
