Frame,x,y
1,0.2,0.99
2,0.199,0.989
3,0.2,0.99
4,0.207,0.994
5,0.22,1.0
6,0.241,1.0
7,0.28,1.0
8,0.34,0.991
9,0.385,0.985
10,0.381,0.989
11,0.382,0.987
12,0.448,0.958
13,0.519,0.928
14,0.524,0.924
15,0.519,0.927
16,0.59,0.904
17,0.706,0.852
18,0.801,0.786
19,0.851,0.737
20,0.855,0.734
21,0.851,0.738
22,0.889,0.687
23,0.948,0.588
24,0.985,0.483
25,0.999,0.409
26,1.0,0.399
27,1.0,0.407
28,0.993,0.356
29,0.966,0.257
30,0.906,0.164
31,0.845,0.107
32,0.83,0.096
33,0.838,0.102
34,0.803,0.077
35,0.711,0.028
36,0.584,0.001
37,0.475,0.0
38,0.452,-0.0
39,0.467,0.0
40,0.399,0.006
41,0.256,0.033
42,0.137,0.095
43,0.079,0.162
44,0.067,0.179
45,0.073,0.168
46,0.054,0.214
47,0.014,0.303
48,0.0,0.341
49,0.0,0.328
50,0.0,0.356
51,0.0,0.442
52,0.011,0.531
53,0.059,0.601
54,0.137,0.662
55,0.221,0.712
56,0.254,0.732
57,0.245,0.728
58,0.265,0.733
59,0.342,0.751
60,0.441,0.755
61,0.525,0.74
62,0.556,0.733
63,0.546,0.738
64,0.568,0.723
65,0.639,0.686
66,0.685,0.665
67,0.68,0.671
68,0.68,0.66
69,0.709,0.613
70,0.738,0.549
71,0.749,0.49
72,0.753,0.462
73,0.755,0.466
74,0.749,0.46
75,0.73,0.423
76,0.703,0.382
77,0.666,0.357
78,0.615,0.346
79,0.554,0.343
80,0.522,0.341
81,0.528,0.336
82,0.518,0.345
83,0.463,0.373
84,0.417,0.392
85,0.416,0.39
86,0.42,0.393
87,0.397,0.42
88,0.378,0.46
89,0.388,0.499
90,0.401,0.521
91,0.398,0.521
92,0.401,0.521
93,0.43,0.537
94,0.472,0.555
95,0.51,0.56
96,0.531,0.559
97,0.531,0.56
98,0.531,0.559
99,0.551,0.552
100,0.572,0.545
