Frame,x,y
1,0.546,0.244
2,0.544,0.244
3,0.542,0.244
4,0.540,0.246
5,0.539,0.246
6,0.533,0.248
7,0.527,0.249
8,0.514,0.253
9,0.503,0.257
10,0.484,0.263
11,0.469,0.272
12,0.454,0.283
13,0.438,0.294
14,0.423,0.306
15,0.406,0.324
16,0.390,0.341
17,0.377,0.363
18,0.367,0.380
19,0.360,0.404
20,0.356,0.423
21,0.356,0.447
22,0.356,0.464
23,0.365,0.491
24,0.370,0.507
25,0.384,0.533
26,0.392,0.546
27,0.419,0.573
28,0.433,0.586
29,0.466,0.605
30,0.490,0.616
31,0.531,0.627
32,0.561,0.633
33,0.605,0.637
34,0.642,0.639
35,0.693,0.640
36,0.735,0.639
37,0.781,0.638
38,0.820,0.631
39,0.857,0.620
40,0.892,0.595
41,0.924,0.569
42,0.952,0.537
43,0.973,0.510
44,0.987,0.470
45,0.995,0.441
46,0.988,0.398
47,0.981,0.371
48,0.957,0.332
49,0.943,0.309
50,0.905,0.275
51,0.885,0.258
52,0.839,0.235
53,0.812,0.225
54,0.756,0.215
55,0.724,0.213
56,0.683,0.216
57,0.657,0.220
58,0.627,0.225
59,0.606,0.229
60,0.585,0.238
61,0.574,0.239
62,0.565,0.237
63,0.567,0.229
64,0.575,0.218
65,0.587,0.203
66,0.599,0.191
67,0.625,0.167
68,0.649,0.145
69,0.676,0.121
70,0.697,0.103
71,0.713,0.088
72,0.723,0.081
73,0.722,0.080
74,0.720,0.080
75,0.702,0.090
76,0.693,0.097
77,0.665,0.123
78,0.648,0.136
79,0.618,0.156
80,0.597,0.168
81,0.566,0.186
82,0.550,0.201
83,0.537,0.222
84,0.532,0.234
85,0.532,0.242
86,0.538,0.247
87,0.550,0.249
88,0.568,0.253
89,0.590,0.257
90,0.613,0.260
91,0.633,0.263
92,0.658,0.271
93,0.678,0.277
94,0.700,0.284
95,0.716,0.289
96,0.733,0.298
97,0.743,0.304
98,0.751,0.310
99,0.756,0.314
100,0.758,0.314
