Frame,x,y
1,0.564,0.306
2,0.560,0.306
3,0.553,0.308
4,0.544,0.312
5,0.532,0.318
6,0.517,0.327
7,0.502,0.338
8,0.487,0.350
9,0.470,0.364
10,0.453,0.386
11,0.437,0.409
12,0.422,0.433
13,0.410,0.457
14,0.403,0.484
15,0.398,0.511
16,0.396,0.538
17,0.398,0.566
18,0.404,0.596
19,0.413,0.626
20,0.426,0.657
21,0.443,0.692
22,0.465,0.725
23,0.491,0.755
24,0.521,0.783
25,0.557,0.810
26,0.598,0.828
27,0.646,0.839
28,0.697,0.845
29,0.749,0.848
30,0.803,0.839
31,0.852,0.826
32,0.899,0.809
33,0.945,0.786
34,0.986,0.753
35,1.022,0.716
36,1.053,0.674
37,1.073,0.628
38,1.085,0.580
39,1.089,0.532
40,1.086,0.485
41,1.075,0.442
42,1.057,0.400
43,1.035,0.360
44,1.008,0.324
45,0.977,0.293
46,0.941,0.266
47,0.904,0.245
48,0.865,0.228
49,0.825,0.218
50,0.783,0.216
51,0.742,0.220
52,0.703,0.228
53,0.670,0.238
54,0.642,0.250
55,0.619,0.260
56,0.603,0.266
57,0.594,0.269
58,0.591,0.268
59,0.592,0.262
60,0.597,0.252
61,0.608,0.237
62,0.622,0.217
63,0.638,0.194
64,0.656,0.169
65,0.674,0.142
66,0.694,0.120
67,0.715,0.101
68,0.733,0.087
69,0.747,0.078
70,0.756,0.071
71,0.760,0.067
72,0.759,0.066
73,0.752,0.069
74,0.738,0.075
75,0.719,0.084
76,0.698,0.100
77,0.677,0.121
78,0.658,0.144
79,0.640,0.168
80,0.625,0.191
81,0.615,0.212
82,0.610,0.229
83,0.609,0.242
84,0.613,0.252
85,0.623,0.258
86,0.636,0.263
87,0.650,0.268
88,0.667,0.272
89,0.686,0.278
90,0.707,0.285
91,0.728,0.293
92,0.748,0.302
93,0.766,0.313
94,0.783,0.323
95,0.799,0.334
96,0.812,0.346
97,0.823,0.357
98,0.831,0.365
99,0.838,0.372
100,0.844,0.376
