Frame,x,y
1,0.570,0.242
2,0.567,0.244
3,0.561,0.245
4,0.553,0.249
5,0.542,0.257
6,0.527,0.267
7,0.506,0.281
8,0.484,0.304
9,0.461,0.330
10,0.439,0.358
11,0.418,0.390
12,0.402,0.425
13,0.390,0.462
14,0.383,0.497
15,0.381,0.530
16,0.383,0.561
17,0.391,0.591
18,0.407,0.619
19,0.429,0.645
20,0.460,0.670
21,0.496,0.692
22,0.538,0.709
23,0.585,0.722
24,0.637,0.731
25,0.690,0.734
26,0.744,0.732
27,0.801,0.722
28,0.854,0.707
29,0.904,0.688
30,0.948,0.661
31,0.986,0.627
32,1.017,0.589
33,1.038,0.549
34,1.053,0.505
35,1.059,0.461
36,1.057,0.420
37,1.048,0.380
38,1.032,0.346
39,1.010,0.317
40,0.983,0.292
41,0.952,0.272
42,0.916,0.256
43,0.864,0.247
44,0.836,0.242
45,0.791,0.243
46,0.750,0.247
47,0.720,0.252
48,0.673,0.264
49,0.650,0.270
50,0.625,0.279
51,0.606,0.286
52,0.594,0.290
53,0.588,0.288
54,0.585,0.288
55,0.590,0.274
56,0.596,0.261
57,0.607,0.244
58,0.633,0.213
59,0.646,0.197
60,0.679,0.160
61,0.706,0.132
62,0.733,0.111
63,0.770,0.089
64,0.790,0.077
65,0.809,0.066
66,0.822,0.059
67,0.827,0.055
68,0.826,0.054
69,0.826,0.054
70,0.803,0.062
71,0.787,0.067
72,0.762,0.081
73,0.728,0.103
74,0.708,0.114
75,0.671,0.149
76,0.649,0.171
77,0.629,0.190
78,0.611,0.207
79,0.602,0.216
80,0.600,0.224
81,0.600,0.229
82,0.607,0.232
83,0.618,0.235
84,0.626,0.236
85,0.652,0.241
86,0.667,0.245
87,0.689,0.251
88,0.711,0.257
89,0.726,0.262
90,0.751,0.275
91,0.766,0.282
92,0.783,0.295
93,0.798,0.307
94,0.809,0.316
95,0.823,0.326
96,0.830,0.331
97,0.838,0.335
98,0.844,0.340
99,0.846,0.342
100,0.848,0.342
