Frame,x,y
1,0.432,0.516
2,0.431,0.516
3,0.430,0.516
4,0.430,0.516
5,0.431,0.510
6,0.433,0.506
7,0.434,0.503
8,0.438,0.489
9,0.442,0.480
10,0.445,0.471
11,0.453,0.449
12,0.459,0.435
13,0.464,0.420
14,0.478,0.386
15,0.487,0.365
16,0.496,0.347
17,0.515,0.322
18,0.527,0.307
19,0.538,0.291
20,0.551,0.265
21,0.559,0.249
22,0.568,0.236
23,0.582,0.222
24,0.590,0.214
25,0.596,0.208
26,0.603,0.201
27,0.608,0.198
28,0.612,0.196
29,0.618,0.196
30,0.621,0.196
31,0.626,0.199
32,0.634,0.206
33,0.638,0.209
34,0.648,0.216
35,0.664,0.228
36,0.672,0.233
37,0.687,0.245
38,0.707,0.260
39,0.716,0.269
40,0.739,0.287
41,0.770,0.311
42,0.786,0.325
43,0.810,0.344
44,0.836,0.364
45,0.850,0.374
46,0.869,0.388
47,0.888,0.401
48,0.899,0.408
49,0.908,0.415
50,0.915,0.421
51,0.919,0.425
52,0.919,0.431
53,0.918,0.437
54,0.916,0.439
55,0.905,0.450
56,0.894,0.460
57,0.887,0.467
58,0.866,0.490
59,0.848,0.511
60,0.837,0.523
61,0.818,0.547
62,0.802,0.567
63,0.793,0.579
64,0.773,0.602
65,0.757,0.620
66,0.746,0.632
67,0.725,0.657
68,0.709,0.676
69,0.698,0.689
70,0.685,0.708
71,0.676,0.721
72,0.669,0.730
73,0.661,0.736
74,0.656,0.740
75,0.651,0.741
76,0.641,0.734
77,0.635,0.729
78,0.630,0.723
79,0.616,0.707
80,0.607,0.696
81,0.599,0.685
82,0.582,0.664
83,0.572,0.650
84,0.562,0.637
85,0.544,0.615
86,0.534,0.602
87,0.523,0.588
88,0.507,0.569
89,0.497,0.558
90,0.488,0.548
91,0.476,0.536
92,0.469,0.529
93,0.462,0.523
94,0.453,0.515
95,0.448,0.510
96,0.444,0.506
97,0.438,0.502
98,0.435,0.499
99,0.433,0.497
100,0.430,0.494
