Frame,x,y
1,0.304,0.432
2,0.304,0.432
3,0.304,0.432
4,0.302,0.430
5,0.302,0.428
6,0.302,0.428
7,0.302,0.428
8,0.312,0.408
9,0.321,0.391
10,0.327,0.382
11,0.329,0.378
12,0.351,0.339
13,0.378,0.294
14,0.393,0.270
15,0.400,0.259
16,0.417,0.234
17,0.447,0.195
18,0.463,0.174
19,0.471,0.164
20,0.481,0.151
21,0.505,0.119
22,0.517,0.102
23,0.522,0.094
24,0.527,0.089
25,0.540,0.080
26,0.546,0.074
27,0.550,0.072
28,0.550,0.079
29,0.550,0.083
30,0.550,0.086
31,0.550,0.088
32,0.557,0.106
33,0.563,0.120
34,0.565,0.128
35,0.567,0.133
36,0.577,0.155
37,0.588,0.180
38,0.594,0.193
39,0.597,0.200
40,0.610,0.225
41,0.631,0.266
42,0.642,0.287
43,0.647,0.298
44,0.658,0.315
45,0.683,0.357
46,0.695,0.378
47,0.703,0.389
48,0.708,0.398
49,0.722,0.435
50,0.730,0.454
51,0.734,0.464
52,0.736,0.468
53,0.738,0.479
54,0.740,0.485
55,0.740,0.489
56,0.740,0.492
57,0.759,0.482
58,0.774,0.474
59,0.782,0.469
60,0.786,0.467
61,0.776,0.490
62,0.763,0.519
63,0.756,0.533
64,0.753,0.541
65,0.714,0.597
66,0.643,0.696
67,0.606,0.747
68,0.586,0.773
69,0.563,0.799
70,0.512,0.850
71,0.485,0.877
72,0.471,0.891
73,0.463,0.898
74,0.450,0.898
75,0.444,0.898
76,0.440,0.898
77,0.438,0.898
78,0.434,0.907
79,0.432,0.913
80,0.432,0.916
81,0.424,0.911
82,0.418,0.909
83,0.415,0.907
84,0.413,0.906
85,0.397,0.887
86,0.381,0.865
87,0.373,0.854
88,0.369,0.848
89,0.356,0.817
90,0.337,0.767
91,0.328,0.742
92,0.323,0.729
93,0.315,0.710
94,0.302,0.668
95,0.295,0.648
96,0.292,0.637
97,0.289,0.627
98,0.282,0.593
99,0.278,0.576
100,0.276,0.566
